component_id,strategy_num,total_signals,non_zero_signals,signal_frequency,parameters
SPY_5m_compiled_strategy_0,0,4999,2920,0.17575538702299265,"{'_strategy_type': 'compiled_strategy_0', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 0.5, 'exit_threshold': 0.0}"
SPY_5m_compiled_strategy_1,1,2279,1152,0.06935580975316075,"{'_strategy_type': 'compiled_strategy_1', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 0.5, 'exit_threshold': 0.0013}"
SPY_5m_compiled_strategy_2,2,770,387,0.023314657509488523,"{'_strategy_type': 'compiled_strategy_2', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 0.5, 'exit_threshold': 0.0025}"
SPY_5m_compiled_strategy_3,3,317,159,0.009580044586371031,"{'_strategy_type': 'compiled_strategy_3', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 0.5, 'exit_threshold': 0.0037}"
SPY_5m_compiled_strategy_4,4,158,79,0.0047841094894931265,"{'_strategy_type': 'compiled_strategy_4', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 0.5, 'exit_threshold': 0.005}"
SPY_5m_compiled_strategy_5,5,5818,3009,0.18113411991331568,"{'_strategy_type': 'compiled_strategy_5', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 1.0, 'exit_threshold': 0.0}"
SPY_5m_compiled_strategy_6,6,2361,1190,0.0716435881998796,"{'_strategy_type': 'compiled_strategy_6', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 1.0, 'exit_threshold': 0.0013}"
SPY_5m_compiled_strategy_7,7,795,399,0.02403759262606181,"{'_strategy_type': 'compiled_strategy_7', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 1.0, 'exit_threshold': 0.0025}"
SPY_5m_compiled_strategy_8,8,316,158,0.00951979273362656,"{'_strategy_type': 'compiled_strategy_8', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 1.0, 'exit_threshold': 0.0037}"
SPY_5m_compiled_strategy_9,9,160,80,0.004845548152634767,"{'_strategy_type': 'compiled_strategy_9', '_actual_strategy_type': 'bollinger_bands', 'period': 10, 'std_dev': 1.0, 'exit_threshold': 0.005}"
