period,std_dev,base_return_bps,and_return_bps,or_return_bps,specific_or_return_bps,and_trades,or_trades,specific_or_trades
10.0,1.5,0.4,1.9,1.4,2.2,96,684,478
10.0,2.0,0.4,1.9,1.3,2.3,107,761,533
10.0,2.5,0.3,1.9,1.3,2.4,100,713,499
10.0,3.0,0.3,1.9,1.3,2.4,110,781,546
15.0,1.5,0.1,1.5,1.1,1.9,104,739,517
15.0,2.0,0.3,1.9,1.3,2.3,112,797,558
15.0,2.5,0.1,1.7,1.2,2.2,112,799,559
15.0,3.0,0.2,1.8,1.2,2.4,142,1014,709
20.0,1.5,0.2,1.8,1.3,2.1,122,871,609
20.0,2.0,0.3,1.8,1.3,2.2,134,954,668
20.0,2.5,0.4,2.0,1.4,2.4,115,816,571
20.0,3.0,0.4,2.0,1.4,2.6,136,964,675
25.0,1.5,0.2,1.7,1.2,2.1,110,782,547
25.0,2.0,0.2,1.7,1.2,2.1,141,1002,701
25.0,2.5,0.2,1.7,1.2,2.3,122,871,609
25.0,3.0,0.2,1.8,1.2,2.4,138,983,688
30.0,1.5,0.3,1.8,1.3,2.1,112,795,556
30.0,2.0,0.3,1.9,1.4,2.3,117,834,584
30.0,2.5,0.4,1.9,1.4,2.4,130,929,650
30.0,3.0,0.4,2.0,1.4,2.5,123,876,613
