strategy_num,period,std_dev,total_return,sharpe,win_rate,num_trades,signal_count
0,10,0.5,0.14260843465906436,0.9708948524957115,0.4924632889234659,940,4999
1,10,1.0,-0.012666413032772827,-0.01626433004119909,0.4962699302745136,257,2279
2,10,1.5,0.25623390100845644,1.6126384453998783,0.49229343478685006,93,770
3,10,2.0,0.13453693897002528,0.9256886154763247,0.49210656142081893,41,317
4,10,2.5,-0.17197005134358234,-1.2099643595143084,0.4915638875185002,18,158
5,10,3.0,0.04482190295410082,0.36621759728767356,0.49550206661804036,691,5818
6,10,3.5,-0.058850791866359775,-0.3400726627699149,0.4954897849724511,252,2361
7,11,0.5,0.2195422712643258,1.4121341724283767,0.4919032289532729,91,795
8,11,1.0,0.07999161815895928,0.591515807802905,0.4916132215096201,39,316
9,11,1.5,-0.17197005134358234,-1.2099643595143084,0.4915638875185002,18,160
10,11,2.0,0.026554961227644114,0.24700580511778322,0.49717816483409555,482,4698
11,11,2.5,-0.07397901113819194,-0.44961012373236486,0.49314934906626356,221,2167
12,11,3.0,0.28295302469036177,1.755001670052638,0.49380548239196176,90,764
13,11,3.5,0.07602865071813847,0.566583593576032,0.49181055747409963,38,318
14,12,0.5,-0.17197005134358234,-1.2099643595143084,0.4915638875185002,18,158
15,12,1.0,0.036649447725970896,0.3131748117561598,0.5002919139826798,251,2132
16,12,1.5,-0.09041240807730289,-0.5706059107427538,0.49651372568140817,146,1195
17,12,2.0,0.21809555054477303,1.404133278845878,0.49648814749780507,65,491
18,12,2.5,-0.02429937180125674,-0.09718048154348875,0.4977799703996053,30,213
19,12,3.0,-0.2123678138892332,-1.5492462019952542,0.49013320177602365,17,115
20,12,3.5,0.0556219702394658,0.4357933164416555,0.5018527547537787,64,521
21,13,0.5,0.1260259324839259,0.87221739499088,0.5043639377834122,54,421
22,13,1.0,0.09026699394437787,0.6557950325803896,0.4986186482486433,28,229
23,13,1.5,-0.0236316850485212,-0.09231147779398455,0.5000493339911198,14,139
24,13,2.0,-0.06980869474935458,-0.42090149503585833,0.4972866304884065,11,85
25,13,2.5,0.0,0.0,0.0,0,1
26,13,3.0,0.0,0.0,0.0,0,1
27,13,3.5,0.0,0.0,0.0,0,1
28,14,0.5,0.0,0.0,0.0,0,1
29,14,1.0,0.0,0.0,0.0,0,1
30,14,1.5,0.0,0.0,0.0,0,1
31,14,2.0,0.0,0.0,0.0,0,1
32,14,2.5,0.0,0.0,0.0,0,1
33,14,3.0,0.0,0.0,0.0,0,1
34,14,3.5,0.0,0.0,0.0,0,1
35,15,0.5,0.0,0.0,0.0,0,1
36,15,1.0,0.0,0.0,0.0,0,1
37,15,1.5,0.0,0.0,0.0,0,1
38,15,2.0,0.0,0.0,0.0,0,1
39,15,2.5,0.0,0.0,0.0,0,1
40,15,3.0,0.14840878119905287,1.005108664816657,0.4913202042304887,875,4809
41,15,3.5,-0.04944291256834221,-0.2728448305217206,0.4957335803793457,255,2330
42,16,0.5,0.2834917529000469,1.7578433621638672,0.4918544532240757,99,820
43,16,1.0,0.012365734080196589,0.15296186667431702,0.4890971879625062,41,348
44,16,1.5,-0.12299397555032199,-0.8202129879402937,0.492501233349778,22,184
45,16,2.0,0.028897638906208556,0.2624146298564455,0.4948212983223924,642,5561
46,16,2.5,-0.04751749223148971,-0.25916731939570253,0.49568482129796676,251,2418
47,16,3.0,0.265995750265567,1.6650000165436007,0.49161057457808993,98,849
48,16,3.5,0.012365734080196589,0.15296186667431702,0.4890971879625062,41,352
49,17,0.5,-0.12299397555032199,-0.8202129879402937,0.492501233349778,22,184
50,17,1.0,-0.0060596364272222925,0.028800517507919284,0.49652321906151226,449,4513
51,17,1.5,-0.0624125993608764,-0.36569569081143105,0.49500219415866203,226,2229
52,17,2.0,0.2890493757770354,1.7870713329732175,0.4923422105160472,96,822
53,17,2.5,0.012365734080196589,0.15296186667431702,0.4890971879625062,41,358
54,17,3.0,-0.12299397555032199,-0.8202129879402937,0.492501233349778,22,174
55,17,3.5,0.016858080191840097,0.18289338961096527,0.49907560572151405,246,2157
56,18,0.5,-0.006065059841460996,0.02880663681822514,0.4990979569944902,149,1262
57,18,1.0,0.27499698913335924,1.7129506328893687,0.4964393717686079,70,535
58,18,1.5,0.016050383493846798,0.17764096821489261,0.4986186482486433,32,241
59,18,2.0,-0.16381468296262802,-1.1434979443284732,0.49047853971386285,20,125
60,18,2.5,0.17249161065511398,1.1455057520053955,0.4999024865919064,78,635
61,18,3.0,0.18472161460434444,1.2156695653712697,0.4989516797503535,65,511
62,18,3.5,0.24950150636426183,1.576847581999107,0.49388154674498286,34,267
63,19,0.5,0.12012750133336114,0.8390046807311123,0.4997039960532807,18,153
64,19,1.0,-0.02408004258188967,-0.09543242863852384,0.4976813024173656,13,91
65,19,1.5,-0.13841302016289658,-0.940495426934375,0.4956092747903305,9,91
66,19,2.0,-0.13841302016289658,-0.940495426934375,0.4956092747903305,9,89
67,19,2.5,-0.17209184499395802,-1.2109450936774033,0.4929945732609768,8,77
68,19,3.0,-0.18139677893016692,-1.287605952544049,0.4906265416872225,7,69
69,19,3.5,-0.18139677893016692,-1.287605952544049,0.4906265416872225,7,53
70,20,0.5,0.0,0.0,0.0,0,1
71,20,1.0,0.0,0.0,0.0,0,1
72,20,1.5,0.0,0.0,0.0,0,1
73,20,2.0,0.0,0.0,0.0,0,1
74,20,2.5,0.0,0.0,0.0,0,1
75,20,3.0,0.0,0.0,0.0,0,1
76,20,3.5,0.0,0.0,0.0,0,1
77,21,0.5,0.0,0.0,0.0,0,1
78,21,1.0,0.0,0.0,0.0,0,1
79,21,1.5,0.0,0.0,0.0,0,1
80,21,2.0,0.13283825749166178,0.9128439354577988,0.48976316685308563,809,4638
81,21,2.5,-0.030054293631763485,-0.1363646371872172,0.4946121215076308,254,2333
82,21,3.0,0.21479965918791089,1.385782834252389,0.4924397619744415,99,872
83,21,3.5,0.11496956849667717,0.8076956288677941,0.4943759250123335,43,355
84,22,0.5,-0.13209774250894768,-0.890996299708795,0.4916132215096201,22,196
85,22,1.0,0.014879053412576226,0.16969612089375197,0.4935791419398774,598,5263
86,22,1.5,-0.0446560287141855,-0.23889208918678914,0.4944658442634941,248,2438
87,22,2.0,0.1982400373675972,1.292947529770827,0.49219588332845576,98,901
88,22,2.5,0.11496956849667717,0.8076956288677941,0.4943759250123335,43,363
89,22,3.0,-0.13209774250894768,-0.890996299708795,0.4916132215096201,22,200
90,22,3.5,-0.026077462622423275,-0.10871386999141704,0.49635107521650285,425,4331
91,23,0.5,-0.096099274170794,-0.6130213854826274,0.4953922668096933,224,2258
92,23,1.0,0.24506192062761722,1.5522173802643864,0.4927811920788216,97,881
93,23,1.5,0.10801726316658855,0.7652721228678872,0.4938332511100148,43,379
94,23,2.0,-0.13209774250894768,-0.890996299708795,0.4916132215096201,22,194
95,23,2.5,0.011804700457524353,0.14923190084568383,0.4984917777561545,234,2135
96,23,3.0,-0.02572931889986607,-0.10624737275367149,0.49973182505241603,151,1320
97,23,3.5,0.19011714909136757,1.247365114555409,0.49334312285854137,75,592
98,24,0.5,0.1133057356662468,0.7976261271460449,0.5021213616181549,36,259
99,24,1.0,-0.22975842778069833,-1.7006805937664007,0.489590527873705,19,133
100,24,1.5,-0.02822089412044726,-0.12357315356102218,0.4961482203803023,85,715
101,24,2.0,0.056888518367049556,0.4438950893085901,0.497635184553123,72,563
102,24,2.5,0.13425452954238692,0.9220991047181236,0.49505628976994615,35,289
