entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,direction,pnl_pct,duration_bars,duration_minutes,workspace,strategy_file
2024-03-26 14:00:00+00:00,2024-03-26 14:01:00+00:00,30,31,521.35,521.2801,short,0.013407499760252253,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 14:18:00+00:00,2024-03-26 14:19:00+00:00,48,49,521.48,521.425,short,0.010546904962810398,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 14:29:00+00:00,2024-03-26 14:32:00+00:00,59,62,521.07,520.9,long,-0.032625175120439234,3,3.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 14:58:00+00:00,2024-03-26 14:59:00+00:00,88,89,521.28,521.3,short,-0.003836709637811121,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:00:00+00:00,2024-03-26 15:01:00+00:00,90,91,521.34,521.3136,short,0.005063873863521038,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:25:00+00:00,2024-03-26 15:26:00+00:00,115,116,521.3775,521.35,short,0.0052744892136756625,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:38:00+00:00,2024-03-26 15:39:00+00:00,128,129,521.13,521.185,long,0.010553988448170317,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:40:00+00:00,2024-03-26 15:41:00+00:00,130,131,521.0999,521.23,long,0.024966421985490754,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:51:00+00:00,2024-03-26 15:53:00+00:00,141,143,521.3601,521.34,short,0.003855300779625581,2,2.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 15:54:00+00:00,2024-03-26 15:55:00+00:00,144,145,521.4,521.39,short,0.0019179133103166294,1,1.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 16:20:00+00:00,2024-03-26 16:23:00+00:00,170,173,521.0,521.01,long,0.00191938579654336,3,3.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 17:00:00+00:00,2024-03-26 17:02:00+00:00,210,212,520.795,520.805,long,0.0019201413223995825,2,2.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 17:44:00+00:00,2024-03-26 17:46:00+00:00,254,256,520.6887,520.63,long,-0.011273530614366008,2,2.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
2024-03-26 18:39:00+00:00,2024-03-26 18:43:00+00:00,309,313,520.7999,520.745,long,-0.01054147667846616,4,4.0,workspaces/signal_generation_cc984d99,SPY_compiled_strategy_0
