strategy_id,strategy_hash,strategy_type,symbol,timeframe,param_period,param_std_dev,param_fast_period,param_slow_period,param_multiplier,full_config,constraints,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_bollinger_bands_10_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_10_10.parquet,0.22556054173136797,2.223487443014875,-0.029412224603227788,3096
SPY_5m_bollinger_bands_10_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_10_15.parquet,0.18476604001609442,2.550948406164982,-0.029885325527822415,2808
SPY_5m_bollinger_bands_10_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_10_20.parquet,0.023346366486667547,0.6993434033235009,-0.02152451645815423,1485
SPY_5m_bollinger_bands_10_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_10_25.parquet,0.008219796018453795,0.4494155165807731,-0.015172665822283604,481
SPY_5m_bollinger_bands_10_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_10_30.parquet,0.0,0.0,0.0,1
SPY_5m_bollinger_bands_11_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_11_10.parquet,0.19632211038031144,1.9485422708623126,-0.03595173333019486,3137
SPY_5m_bollinger_bands_11_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_11_15.parquet,0.1896643053132938,2.539301330855786,-0.03202328099584906,2873
SPY_5m_bollinger_bands_11_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_11_20.parquet,0.031009179395610875,0.7635533165625684,-0.03125882871156038,1537
SPY_5m_bollinger_bands_11_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_11_25.parquet,-0.0038339453581914817,-0.18529783194747565,-0.022165453485295195,569
SPY_5m_bollinger_bands_11_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_11_30.parquet,0.009542675595842764,0.904883104325123,-0.00795388709082756,89
