strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_strategy_0,572097140686,bollinger_bands,SPY_5m,1m,,10,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_0.parquet,0.22556054173136797,2.223487443014875,-0.029412224603227788,3096
SPY_5m_strategy_1,3bee7e1ff576,bollinger_bands,SPY_5m,1m,,10,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_1.parquet,0.18476604001609442,2.550948406164982,-0.029885325527822415,2808
SPY_5m_strategy_2,5edc43651004,bollinger_bands,SPY_5m,1m,,10,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_2.parquet,0.023346366486667547,0.6993434033235009,-0.02152451645815423,1485
SPY_5m_strategy_3,846869fc71e7,bollinger_bands,SPY_5m,1m,,10,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_3.parquet,0.008219796018453795,0.4494155165807731,-0.015172665822283604,481
SPY_5m_strategy_4,79624e63fd80,bollinger_bands,SPY_5m,1m,,10,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_4.parquet,0.0,0.0,0.0,1
SPY_5m_strategy_5,84ad2d3299c8,bollinger_bands,SPY_5m,1m,,11,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_5.parquet,0.19632211038031144,1.9485422708623126,-0.03595173333019486,3137
SPY_5m_strategy_6,7ffc4afaadf1,bollinger_bands,SPY_5m,1m,,11,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_6.parquet,0.1896643053132938,2.539301330855786,-0.03202328099584906,2873
SPY_5m_strategy_7,b9277649d929,bollinger_bands,SPY_5m,1m,,11,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_7.parquet,0.031009179395610875,0.7635533165625684,-0.03125882871156038,1537
SPY_5m_strategy_8,25d4fba7043d,bollinger_bands,SPY_5m,1m,,11,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_8.parquet,-0.0038339453581914817,-0.18529783194747565,-0.022165453485295195,569
SPY_5m_strategy_9,80e0a9bfbbe3,bollinger_bands,SPY_5m,1m,,11,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_9.parquet,0.009542675595842764,0.904883104325123,-0.00795388709082756,89
SPY_5m_strategy_10,4067c07319e8,bollinger_bands,SPY_5m,1m,,12,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_10.parquet,0.16605347030764483,1.6655720338771458,-0.03518186040522708,3167
SPY_5m_strategy_11,f9a95a9ec1bb,bollinger_bands,SPY_5m,1m,,12,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_11.parquet,0.19005571577651326,2.193361547471307,-0.031015825450407708,2889
SPY_5m_strategy_12,3f61275abdc4,bollinger_bands,SPY_5m,1m,,12,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_12.parquet,0.023785931625283085,0.5557937746099885,-0.03344650777497882,1591
SPY_5m_strategy_13,18377913515d,bollinger_bands,SPY_5m,1m,,12,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_13.parquet,0.0004735787770975275,0.0330333054948681,-0.022426024148068713,631
SPY_5m_strategy_14,f211c3bbe899,bollinger_bands,SPY_5m,1m,,12,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_14.parquet,0.011767795155436689,1.0593930380618275,-0.009427907739967933,141
SPY_5m_strategy_15,7755af75d5bf,bollinger_bands,SPY_5m,1m,,13,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_15.parquet,0.13147232251561847,1.3353023449620212,-0.03484735865951882,3158
SPY_5m_strategy_16,6312bf78024e,bollinger_bands,SPY_5m,1m,,13,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_16.parquet,0.18030890985554415,2.0383889729814224,-0.033003776722028144,2923
SPY_5m_strategy_17,47f300ade5d5,bollinger_bands,SPY_5m,1m,,13,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_17.parquet,0.03706356254673948,0.7710780106568504,-0.03032743573949659,1612
SPY_5m_strategy_18,643f7aa63f16,bollinger_bands,SPY_5m,1m,,13,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_18.parquet,-0.008336420544640455,-0.3891407156084313,-0.024311175922985373,667
SPY_5m_strategy_19,d3ced64f1e75,bollinger_bands,SPY_5m,1m,,13,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_19.parquet,0.004403479392209642,0.3559318213596063,-0.014821774378004027,199
SPY_5m_strategy_20,b515bfeac94d,bollinger_bands,SPY_5m,1m,,14,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_20.parquet,0.14469915297405622,1.4484130775611452,-0.03711440705824787,3171
SPY_5m_strategy_21,7ac75d9a0237,bollinger_bands,SPY_5m,1m,,14,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_21.parquet,0.18262047508436918,2.0789979756604264,-0.02763897938150195,2906
SPY_5m_strategy_22,f1ad6d1f3a6b,bollinger_bands,SPY_5m,1m,,14,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_22.parquet,0.05059662021702094,1.036157935668225,-0.038916198738603525,1632
SPY_5m_strategy_23,0feab640ac62,bollinger_bands,SPY_5m,1m,,14,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_23.parquet,0.00013796690543754764,0.01663428243000994,-0.01914538551093481,699
SPY_5m_strategy_24,b1b13ffa7fb6,bollinger_bands,SPY_5m,1m,,14,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_24.parquet,0.009616990266910763,0.7141853620812029,-0.013972153077336902,259
SPY_5m_strategy_25,db8d4e8f6787,bollinger_bands,SPY_5m,1m,,15,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_25.parquet,0.12560131344884518,1.263109818489737,-0.04475539214904778,3139
SPY_5m_strategy_26,e837394fa671,bollinger_bands,SPY_5m,1m,,15,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_26.parquet,0.19060905727344402,2.153994168250013,-0.033604304925070716,2891
SPY_5m_strategy_27,de310b1d719c,bollinger_bands,SPY_5m,1m,,15,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_27.parquet,0.03720554759463446,0.7855345998662169,-0.03732611480944281,1674
SPY_5m_strategy_28,7d8028d44776,bollinger_bands,SPY_5m,1m,,15,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_28.parquet,-4.089967573372988e-05,0.009406360129882304,-0.020501015292996305,737
SPY_5m_strategy_29,cc8fd5805152,bollinger_bands,SPY_5m,1m,,15,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_29.parquet,0.0030394680408181163,0.22205393990449018,-0.017532492508110287,289
SPY_5m_strategy_30,0c2036dd8361,bollinger_bands,SPY_5m,1m,,16,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_30.parquet,0.09138534328254377,0.9398024969854452,-0.04973733417540638,3082
SPY_5m_strategy_31,1729defe80ec,bollinger_bands,SPY_5m,1m,,16,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_31.parquet,0.20929915599213755,2.336025219728495,-0.037725323536951905,2922
SPY_5m_strategy_32,bb047773debb,bollinger_bands,SPY_5m,1m,,16,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_32.parquet,0.065040576722871,1.3455064804359351,-0.04375745958183952,1656
SPY_5m_strategy_33,67aab798c4c3,bollinger_bands,SPY_5m,1m,,16,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_33.parquet,-0.013128539493321822,-0.5365572015946266,-0.026721147942228685,721
SPY_5m_strategy_34,2bcc376485d5,bollinger_bands,SPY_5m,1m,,16,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_34.parquet,0.00734765956558836,0.515586178785261,-0.015469241828562907,303
SPY_5m_strategy_35,3bc725799b6e,bollinger_bands,SPY_5m,1m,,17,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_35.parquet,0.0868020048207585,0.895664043223159,-0.05501261864183438,3075
SPY_5m_strategy_36,cc981e9ed262,bollinger_bands,SPY_5m,1m,,17,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_36.parquet,0.20517481579638086,2.313853136050524,-0.03697080381035367,2897
SPY_5m_strategy_37,8e87066c3723,bollinger_bands,SPY_5m,1m,,17,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_37.parquet,0.0627331845939747,1.2806166241930548,-0.043833519437434854,1652
SPY_5m_strategy_38,aad915846c8b,bollinger_bands,SPY_5m,1m,,17,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_38.parquet,-0.008131305185102411,-0.31739564207403403,-0.02228446408683682,733
SPY_5m_strategy_39,c45b884a2efa,bollinger_bands,SPY_5m,1m,,17,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_39.parquet,0.008083077266787031,0.5726860531076494,-0.015567216391758953,319
SPY_5m_strategy_40,8bfd000951c8,bollinger_bands,SPY_5m,1m,,18,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_40.parquet,0.07274310357733027,0.7580456365113825,-0.06098555679411277,3042
SPY_5m_strategy_41,7b6de378abb1,bollinger_bands,SPY_5m,1m,,18,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_41.parquet,0.17071268097860948,1.940813547247403,-0.034542151100673935,2847
SPY_5m_strategy_42,5c7108270d04,bollinger_bands,SPY_5m,1m,,18,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_42.parquet,0.07876332057143531,1.5113549562811521,-0.04443254960415988,1661
SPY_5m_strategy_43,1c281ff1e665,bollinger_bands,SPY_5m,1m,,18,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_43.parquet,0.006377266090950906,0.26950126475993197,-0.023020363030601176,743
SPY_5m_strategy_44,f3ee8435d51b,bollinger_bands,SPY_5m,1m,,18,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_44.parquet,0.015879501270982033,1.0356663320662838,-0.013853469289197506,327
SPY_5m_strategy_45,6060c4146778,bollinger_bands,SPY_5m,1m,,19,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_45.parquet,0.10278925009599926,1.034038086347114,-0.04978263058205201,3016
SPY_5m_strategy_46,77ecf32f66e5,bollinger_bands,SPY_5m,1m,,19,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_46.parquet,0.15591538252204207,1.7928991852444713,-0.044684550724457206,2826
SPY_5m_strategy_47,8baa1f123457,bollinger_bands,SPY_5m,1m,,19,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_47.parquet,0.09809986862906483,1.794671144583829,-0.04168793874101362,1679
SPY_5m_strategy_48,6f8fa2fc4f01,bollinger_bands,SPY_5m,1m,,19,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_48.parquet,0.016896528657157184,0.6457937413674494,-0.02263873512970116,790
SPY_5m_strategy_49,72706250c433,bollinger_bands,SPY_5m,1m,,19,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_49.parquet,0.01379890651258564,0.9012649968101758,-0.013105462783499444,343
SPY_5m_strategy_50,31784fac0618,bollinger_bands,SPY_5m,1m,,20,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_50.parquet,0.12281199899034179,1.218805891634397,-0.05867782954811018,2988
SPY_5m_strategy_51,a08c8bbd5d2c,bollinger_bands,SPY_5m,1m,,20,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_51.parquet,0.1337864246248608,1.5508211576720232,-0.04316536683574612,2735
SPY_5m_strategy_52,49cbed903ac4,bollinger_bands,SPY_5m,1m,,20,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_52.parquet,0.08052053619008959,1.4973655697882606,-0.039333508619039725,1686
SPY_5m_strategy_53,d6203f75d335,bollinger_bands,SPY_5m,1m,,20,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_53.parquet,0.013178093391871037,0.4980596954498443,-0.023058390551175756,785
SPY_5m_strategy_54,7d826e7e1670,bollinger_bands,SPY_5m,1m,,20,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_54.parquet,0.0032932930515434666,0.19611264235754838,-0.021531395723767832,337
SPY_5m_strategy_55,af0897a3cbf3,bollinger_bands,SPY_5m,1m,,21,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_55.parquet,0.11267475903054436,1.1224915515980944,-0.05568138317933069,2957
SPY_5m_strategy_56,e1a5b15c1c4d,bollinger_bands,SPY_5m,1m,,21,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_56.parquet,0.17035742307129476,1.8966151173906936,-0.0425541290000786,2715
SPY_5m_strategy_57,6b16474082ff,bollinger_bands,SPY_5m,1m,,21,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_57.parquet,0.04769370051856159,0.9048226486142772,-0.04477836739343233,1656
SPY_5m_strategy_58,4daf7ecf9645,bollinger_bands,SPY_5m,1m,,21,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_58.parquet,-0.014662514555225936,-0.41861116638073603,-0.03207212677759641,770
SPY_5m_strategy_59,66b838920d84,bollinger_bands,SPY_5m,1m,,21,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_59.parquet,0.008824139914099582,0.5008702564807634,-0.019332734252727857,365
SPY_5m_strategy_60,89ba5ecaeb7e,bollinger_bands,SPY_5m,1m,,22,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_60.parquet,0.12432303362090935,1.224695231885118,-0.05058135042201806,2897
SPY_5m_strategy_61,fdd85de572ee,bollinger_bands,SPY_5m,1m,,22,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_61.parquet,0.1906465354121354,2.0578346131463565,-0.042519049487926286,2650
SPY_5m_strategy_62,9b3b4bc11856,bollinger_bands,SPY_5m,1m,,22,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_62.parquet,0.03590789971542385,0.677923775451859,-0.04768074777703024,1629
SPY_5m_strategy_63,001ba0423a6e,bollinger_bands,SPY_5m,1m,,22,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_63.parquet,-0.012016442225163515,-0.33497288930546165,-0.03505271444039193,775
SPY_5m_strategy_64,e5cc63fb508c,bollinger_bands,SPY_5m,1m,,22,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_64.parquet,0.007531064184134184,0.4160594046576567,-0.014719017339552054,387
SPY_5m_strategy_65,e8fc96c15ce2,bollinger_bands,SPY_5m,1m,,23,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_65.parquet,0.11131509105959991,1.1031313084864307,-0.048278451331855265,2851
SPY_5m_strategy_66,ede5e6f58198,bollinger_bands,SPY_5m,1m,,23,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_66.parquet,0.17429982531941546,1.8951820385912037,-0.03855011245001927,2595
SPY_5m_strategy_67,046228e4e54b,bollinger_bands,SPY_5m,1m,,23,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_67.parquet,0.05136570032430354,0.8864056507116678,-0.05112861028057447,1611
SPY_5m_strategy_68,93cba16200b6,bollinger_bands,SPY_5m,1m,,23,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_68.parquet,-0.020972421110245554,-0.5852142608778633,-0.03574000750653017,786
SPY_5m_strategy_69,1b485e663a59,bollinger_bands,SPY_5m,1m,,23,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_69.parquet,-0.0006566616061838282,-0.026261581414706428,-0.012262695705055449,375
SPY_5m_strategy_70,c249cef528fb,bollinger_bands,SPY_5m,1m,,24,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_70.parquet,0.11884512585760132,1.1619135386138084,-0.04560190255859453,2819
SPY_5m_strategy_71,b3bc478985c8,bollinger_bands,SPY_5m,1m,,24,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_71.parquet,0.1767813227018269,1.9232630188800182,-0.04233807453755778,2555
SPY_5m_strategy_72,cc91a898fba5,bollinger_bands,SPY_5m,1m,,24,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_72.parquet,0.04385824322054099,0.7665451039923841,-0.05910817488021769,1588
SPY_5m_strategy_73,a0135f1061c2,bollinger_bands,SPY_5m,1m,,24,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_73.parquet,-0.012346985577788017,-0.3273087502655523,-0.03654936952914978,805
SPY_5m_strategy_74,2d276ef09977,bollinger_bands,SPY_5m,1m,,24,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_74.parquet,-0.0019450259847543228,-0.09425288406115664,-0.014857166339505401,393
SPY_5m_strategy_75,b018a6fd2f3b,bollinger_bands,SPY_5m,1m,,25,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_75.parquet,0.12410297549186855,1.2019980328523339,-0.04699905498725332,2789
SPY_5m_strategy_76,9998eed964f5,bollinger_bands,SPY_5m,1m,,25,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_76.parquet,0.14733479914870107,1.6213317047939944,-0.04730013355060558,2537
SPY_5m_strategy_77,a2e4b74d4249,bollinger_bands,SPY_5m,1m,,25,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_77.parquet,0.04439353466482121,0.7722226100763251,-0.05918538879933366,1554
