,,sharpe_ratio,sharpe_ratio,sharpe_ratio,total_return,num_trades
,,mean,std,count,mean,mean
period,std_dev,,,,,
10,1.0,-1.628,,1,-0.1,1530.0
10,1.5,-0.428,,1,-0.022,1379.0
10,2.0,-1.642,,1,-0.052,718.0
11,1.0,-1.864,,1,-0.119,1552.0
11,1.5,-0.32,,1,-0.017,1414.0
11,2.0,-0.799,,1,-0.027,744.0
12,1.0,-2.17,,1,-0.143,1569.0
12,1.5,-1.053,,1,-0.052,1423.0
12,2.0,-0.775,,1,-0.026,770.0
13,1.0,-2.301,,1,-0.157,1567.0
13,1.5,-1.169,,1,-0.06,1446.0
13,2.0,-1.37,,1,-0.046,774.0
14,1.0,-2.19,,1,-0.15,1576.0
14,1.5,-1.017,,1,-0.055,1440.0
14,2.0,-0.844,,1,-0.029,787.0
15,1.0,-2.264,,1,-0.163,1565.0
15,1.5,-1.148,,1,-0.061,1434.0
15,2.0,-0.997,,1,-0.034,812.0
16,1.0,-2.645,,1,-0.19,1534.0
16,1.5,-0.992,,1,-0.053,1448.0
16,2.0,-0.605,,1,-0.023,802.0
17,1.0,-2.616,,1,-0.189,1532.0
17,1.5,-1.215,,1,-0.067,1436.0
17,2.0,-0.749,,1,-0.028,800.0
18,1.0,-2.604,,1,-0.188,1517.0
18,1.5,-1.595,,1,-0.09,1411.0
18,2.0,-0.752,,1,-0.029,805.0
19,1.0,-2.238,,1,-0.165,1503.0
19,1.5,-1.593,,1,-0.09,1402.0
19,2.0,-0.605,,1,-0.023,814.0
20,1.0,-1.996,,1,-0.151,1487.0
20,1.5,-1.746,,1,-0.1,1357.0
20,2.0,-0.739,,1,-0.028,819.0
21,1.0,-2.051,,1,-0.156,1478.0
21,1.5,-1.345,,1,-0.081,1347.0
21,2.0,-1.324,,1,-0.052,809.0
22,1.0,-1.929,,1,-0.148,1447.0
22,1.5,-1.441,,1,-0.087,1315.0
22,2.0,-1.346,,1,-0.054,798.0
23,1.0,-2.107,,1,-0.161,1424.0
23,1.5,-1.773,,1,-0.106,1287.0
23,2.0,-1.443,,1,-0.059,791.0
24,1.0,-1.848,,1,-0.143,1412.0
24,1.5,-1.783,,1,-0.106,1266.0
24,2.0,-1.369,,1,-0.056,783.0
25,1.0,-1.725,,1,-0.134,1395.0
25,1.5,-1.845,,1,-0.113,1258.0
25,2.0,-1.286,,1,-0.054,766.0
26,1.0,-1.463,,1,-0.115,1373.0
26,1.5,-1.676,,1,-0.105,1254.0
26,2.0,-1.517,,1,-0.066,760.0
27,1.0,-1.384,,1,-0.11,1364.0
27,1.5,-1.701,,1,-0.108,1239.0
27,2.0,-1.598,,1,-0.07,762.0
28,1.0,-1.32,,1,-0.105,1355.0
28,1.5,-1.803,,1,-0.114,1221.0
28,2.0,-1.837,,1,-0.083,749.0
29,1.0,-1.444,,1,-0.114,1343.0
29,1.5,-1.881,,1,-0.119,1206.0
29,2.0,-1.643,,1,-0.074,756.0
