strategy,regime,trades,total_return,win_rate,avg_return
7ffc4afa,Low Vol,496,-0.015386761873747434,0.5745967741935484,-3.064942183916149e-05
7ffc4afa,Medium Vol,427,0.011260168280276428,0.585480093676815,2.6818444508129726e-05
7ffc4afa,High Vol,339,-0.013467039549437732,0.5457227138643068,-3.907563259370108e-05
3bee7e1f,Low Vol,466,-0.027591869543461378,0.5493562231759657,-5.9398542446987085e-05
3bee7e1f,Medium Vol,417,0.02166541648153797,0.5947242206235012,5.198264824116521e-05
3bee7e1f,High Vol,344,-0.014840372324629758,0.5377906976744186,-4.262747578592262e-05
bb047773,Low Vol,291,-0.01655967061195096,0.5395189003436426,-5.683799004913004e-05
bb047773,Medium Vol,241,-0.0028645514348747403,0.5726141078838174,-1.1369116313538915e-05
bb047773,High Vol,191,-0.002088510648324493,0.5340314136125655,-9.959058803085086e-06
8baa1f12,Low Vol,308,-0.010306783683229348,0.5616883116883117,-3.3103028990844764e-05
8baa1f12,Medium Vol,251,-0.0031767547021320786,0.5577689243027888,-1.2129649641046876e-05
8baa1f12,High Vol,180,-0.005334000157175112,0.5555555555555556,-2.8667484240208484e-05
49cbed90,Low Vol,296,-0.019312353565413054,0.5337837837837838,-6.53597992029884e-05
49cbed90,Medium Vol,274,-0.00051778986343054,0.551094890510949,-1.37593195940069e-06
49cbed90,High Vol,174,-0.009400770390830426,0.5574712643678161,-5.318841372044746e-05
8e87066c,Low Vol,290,-0.01595194966048652,0.5310344827586206,-5.490930124070864e-05
8e87066c,Medium Vol,245,-0.007884409822377703,0.5469387755102041,-3.180397370327951e-05
8e87066c,High Vol,185,-0.00716157169705034,0.5243243243243243,-3.779194942696706e-05
5c710827,Low Vol,300,-0.010709979549290871,0.5566666666666666,-3.532965518727608e-05
5c710827,Medium Vol,247,-0.009158397563105214,0.5465587044534413,-3.669779869216238e-05
5c710827,High Vol,182,-0.005567065632719359,0.554945054945055,-2.9564101280858232e-05
3f61275a,Low Vol,268,-0.024327417872849977,0.48880597014925375,-9.13384649653849e-05
3f61275a,Medium Vol,225,-0.012643765221137526,0.5022222222222222,-5.605446934782217e-05
3f61275a,High Vol,194,0.0038111999124517126,0.5360824742268041,2.019772594526033e-05
b9277649,Low Vol,261,-0.01832394639321533,0.5095785440613027,-7.031792677043802e-05
b9277649,Medium Vol,221,-0.012168736242439082,0.502262443438914,-5.489079842909804e-05
b9277649,High Vol,180,-0.0016331885670730628,0.5388888888888889,-8.367054006003003e-06
f1ad6d1f,Low Vol,280,-0.011031836327989764,0.5107142857142857,-3.91054093805547e-05
f1ad6d1f,Medium Vol,236,-0.011126386005089639,0.5084745762711864,-4.683971562153552e-05
f1ad6d1f,High Vol,190,-0.0070926558523290995,0.5052631578947369,-3.689905021997002e-05
1729defe,Low Vol,529,-0.029500797210032292,0.5614366729678639,-5.603013906408321e-05
1729defe,Medium Vol,444,-0.019705859356105693,0.6036036036036037,-4.395961416516846e-05
1729defe,High Vol,339,-0.007344777494459276,0.5781710914454278,-2.078655257311019e-05
de310b1d,Low Vol,300,-0.0073686867761387775,0.54,-2.4145332011972223e-05
de310b1d,Medium Vol,236,-0.012571145515634763,0.5296610169491526,-5.309162489025253e-05
de310b1d,High Vol,194,-0.015240553041618532,0.5,-7.850300458865573e-05
7ac75d9a,Low Vol,513,-0.0235653798241946,0.5867446393762183,-4.591290545781348e-05
7ac75d9a,Medium Vol,447,-0.014875124186906952,0.610738255033557,-3.26391982436618e-05
7ac75d9a,High Vol,333,-0.022053340358172524,0.5645645645645646,-6.594138439404437e-05
f9a95a9e,Low Vol,504,-0.02149897011225055,0.5952380952380952,-4.2545363848797086e-05
f9a95a9e,Medium Vol,436,-0.001975578310523196,0.5848623853211009,-3.8596030669887265e-06
f9a95a9e,High Vol,334,-0.029010562400350826,0.5389221556886228,-8.720821217380693e-05
e837394f,Low Vol,522,-0.030526391983443646,0.5823754789272031,-5.8825270881772206e-05
e837394f,Medium Vol,435,-0.02297851251441263,0.6091954022988506,-5.2524158727419535e-05
e837394f,High Vol,336,-0.013487806404582026,0.5952380952380952,-3.940259942016878e-05
6312bf78,Low Vol,510,-0.031113320993327087,0.5705882352941176,-6.140636816166893e-05
6312bf78,Medium Vol,452,0.0002756972629300858,0.5929203539823009,1.241906412253368e-06
6312bf78,High Vol,336,-0.03128488002825813,0.5505952380952381,-9.356960320405451e-05
b3883b4a,Low Vol,461,-0.08965710401942462,0.6117136659436009,-0.00020137193948737144
b3883b4a,Medium Vol,393,0.001553673934651556,0.6946564885496184,5.6257611490496116e-06
b3883b4a,High Vol,274,0.006356352885326766,0.6313868613138686,2.504688283412343e-05
cc981e9e,Low Vol,529,-0.03951682554240232,0.5500945179584121,-7.557585863303785e-05
cc981e9e,Medium Vol,440,-0.01427395147974242,0.5977272727272728,-3.174268224174532e-05
cc981e9e,High Vol,334,-0.01347100200218887,0.6047904191616766,-3.953989512090619e-05
67e6717e,Low Vol,465,-0.08166548529912632,0.6344086021505376,-0.00018094555426803475
67e6717e,Medium Vol,412,-0.00660932772754641,0.6650485436893204,-1.4480998195130674e-05
67e6717e,High Vol,292,0.002638626923855414,0.6335616438356164,1.0910401274149057e-05
a2e4b74d,Low Vol,289,-0.025341646461376266,0.5570934256055363,-8.819485397259837e-05
a2e4b74d,Medium Vol,233,-0.013453816582727707,0.6180257510729614,-5.7077365928376246e-05
a2e4b74d,High Vol,172,-0.013776592016711331,0.5523255813953488,-7.948969892141266e-05
