strategy_hash,regime,trades,optimal_stop,total_return,win_rate,avg_return_per_trade,period,std_dev,fast_period,slow_period
7ffc4afaadf1,Low Vol,496,0.0,-0.015386761873747434,0.5745967741935484,-3.064942183916149e-05,11,1.5,,
7ffc4afaadf1,Medium Vol,427,0.0,0.011260168280276428,0.585480093676815,2.6818444508129726e-05,11,1.5,,
7ffc4afaadf1,High Vol,339,0.5,-0.012811199807750032,0.5457227138643068,-3.779114987536883e-05,11,1.5,,
3bee7e1ff576,Low Vol,466,0.5,-0.02683362196015628,0.5493562231759657,-5.7582879742824635e-05,10,1.5,,
3bee7e1ff576,Medium Vol,417,0.0,0.02166541648153797,0.5947242206235012,5.198264824116521e-05,10,1.5,,
3bee7e1ff576,High Vol,344,0.5,-0.012302768118413557,0.5377906976744186,-3.576386080934174e-05,10,1.5,,
bb047773debb,Low Vol,291,0.0,-0.01655967061195096,0.5395189003436426,-5.683799004913004e-05,16,2.0,,
bb047773debb,Medium Vol,241,0.0,-0.0028645514348747403,0.5726141078838174,-1.1369116313538915e-05,16,2.0,,
bb047773debb,High Vol,191,0.5,0.00045890332055457256,0.5340314136125655,2.4026351861495945e-06,16,2.0,,
8baa1f123457,Low Vol,308,0.0,-0.010306783683229348,0.5616883116883117,-3.3103028990844764e-05,19,2.0,,
8baa1f123457,Medium Vol,251,0.0,-0.0031767547021320786,0.5577689243027888,-1.2129649641046876e-05,19,2.0,,
8baa1f123457,High Vol,180,0.5,-0.0031558369531896804,0.5555555555555556,-1.7532427517720448e-05,19,2.0,,
49cbed903ac4,Low Vol,296,0.0,-0.019312353565413054,0.5337837837837838,-6.53597992029884e-05,20,2.0,,
49cbed903ac4,Medium Vol,274,0.0,-0.00051778986343054,0.551094890510949,-1.37593195940069e-06,20,2.0,,
49cbed903ac4,High Vol,174,0.5,-0.007077632020929876,0.5574712643678161,-4.067604609729814e-05,20,2.0,,
8e87066c3723,Low Vol,290,0.0,-0.01595194966048652,0.5310344827586206,-5.490930124070864e-05,17,2.0,,
8e87066c3723,Medium Vol,245,0.0,-0.007884409822377703,0.5469387755102041,-3.180397370327951e-05,17,2.0,,
8e87066c3723,High Vol,185,0.5,-0.0046304270920450846,0.5243243243243243,-2.5029335632676132e-05,17,2.0,,
5c7108270d04,Low Vol,300,0.0,-0.010709979549290871,0.5566666666666666,-3.532965518727608e-05,18,2.0,,
5c7108270d04,Medium Vol,247,0.0,-0.009158397563105214,0.5465587044534413,-3.669779869216238e-05,18,2.0,,
5c7108270d04,High Vol,182,0.5,-0.003019582881172378,0.554945054945055,-1.6591114731716363e-05,18,2.0,,
3f61275abdc4,Low Vol,268,0.0,-0.024327417872849977,0.48880597014925375,-9.13384649653849e-05,12,2.0,,
