strategy,config,initial_stop,trail_stop,initial_target,trail_target,num_trades,total_return,sharpe_ratio,win_rate,avg_return,avg_duration,stop_exits,trailing_stop_exits,target_exits,trailing_target_exits,signal_exits,avg_max_profit
P10_S1.5,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,419,-0.11082503656699305,-12.247946247638836,0.33651551312649164,-0.00027986866401627557,5.214797136038186,220,0,0,0,199,0.18042868869850834
P10_S1.5,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,419,-0.11082503656699305,-12.247946247638836,0.33651551312649164,-0.00027986866401627557,5.214797136038186,220,0,0,0,199,0.18042868869850834
P10_S1.5,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,419,-0.10891545107517087,-10.784041665912984,0.38902147971360385,-0.00027464593853745366,5.930787589498807,179,0,0,0,240,0.18323117667402714
P10_S1.5,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.0010339579580855324,0.059665871121718374,0,418,0,0,1,0.17336849290118772
P10_S1.5,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,419,0.39122680653511654,30.231309378693155,0.8090692124105012,0.0007889030269506749,0.26252983293556087,0,415,0,0,4,0.1734553789843156
P10_S1.5,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,419,0.26383413060943184,21.758795008737145,0.6706443914081146,0.0005595299427258796,0.7159904534606205,0,402,0,0,17,0.1736417677560576
P10_S1.5,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.0010339579580855324,0.059665871121718374,0,418,0,0,1,0.17336849290118772
P10_S1.5,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,419,0.39122680653511654,30.231309378693155,0.8090692124105012,0.0007889030269506749,0.26252983293556087,0,415,0,0,4,0.1734553789843156
P10_S1.5,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,419,0.26383413060943184,21.758795008737145,0.6706443914081146,0.0005595299427258796,0.7159904534606205,0,402,0,0,17,0.1736417677560576
P10_S1.5,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,419,0.15689990389238062,19.63023285744807,0.7374701670644391,0.0003481569545472604,1.3365155131264916,88,0,288,0,43,0.17576938138719822
P10_S1.5,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,419,-0.10549303026988399,-6.393990633348989,0.48448687350835323,-0.00026462093413945467,9.713603818615752,0,0,0,0,419,0.18828693720134979
