stop_pct,target_pct,regime,num_trades,total_return,sharpe_ratio,win_rate,stop_hits,target_hits,avg_duration,strategy,period,std_dev,strategy_hash
0.05,0.075,Overall,1231,0.4474806323602387,22.897967630497416,0.7879772542648253,13.64744110479285,73.76116978066612,0.1957757920389927,P6_S1.5,6,1.5,9782389a
0.05,0.075,Overall,1331,0.45596774560940534,21.673153370052496,0.7753568745304282,15.477084898572501,72.12622088655147,0.25469571750563486,P6_S1.0,6,1.0,79c61e64
0.05,0.075,Overall,927,0.34945582279780796,21.317788892464403,0.8069039913700108,14.347357065803667,78.64077669902912,0.11326860841423948,P5_S1.5,5,1.5,f741f95b
0.05,0.075,Overall,1030,0.36861172320044555,20.562561901929353,0.7970873786407767,16.116504854368934,76.40776699029126,0.18349514563106797,P5_S1.0,5,1.0,975873db
0.05,0.075,Overall,1464,0.4419507049227136,19.716396861171287,0.7370218579234973,15.710382513661203,68.10109289617486,0.2889344262295082,P7_S1.5,7,1.5,4e519de3
0.05,0.075,Overall,891,0.303125120992944,19.168879571572,0.7800224466891134,13.580246913580247,73.62514029180696,0.17845117845117844,P8_S2.0,8,2.0,28243fea
0.05,0.075,Overall,1556,0.4451700810729451,18.865140551775816,0.7287917737789203,17.544987146529564,66.70951156812339,0.34190231362467866,P7_S1.0,7,1.0,d646f0a4
0.05,0.075,Overall,1703,0.4329649392085353,17.572774404750547,0.7011156782149148,17.263652378156195,62.712859659424545,0.3775689958896066,P8_S1.5,8,1.5,28a7fe05
0.05,0.075,Overall,657,0.2277204855817898,17.095506892355242,0.7945205479452054,14.76407914764079,77.47336377473364,0.1141552511415525,P7_S2.0,7,2.0,59949bee
0.075,0.1,Overall,927,0.3914455066139191,17.082393259897167,0.7098166127292341,10.032362459546926,62.02804746494067,0.33980582524271846,P5_S1.5,5,1.5,f741f95b
0.05,0.075,Overall,1103,0.3096429136155663,16.892958751458533,0.7262012692656392,14.596554850407978,66.81776971894833,0.2583862194016319,P9_S2.0,9,2.0,0a949be4
0.05,0.075,Overall,1813,0.4218359301004502,16.38683266199286,0.6894649751792609,18.863761720904577,60.89354660783233,0.4362934362934363,P8_S1.0,8,1.0,e4da0e19
0.075,0.1,Overall,1030,0.39114792746457105,15.832508074014832,0.6980582524271844,12.427184466019417,58.44660194174758,0.4815533980582524,P5_S1.0,5,1.0,975873db
0.05,0.1,Overall,927,0.3473627423934924,15.480633095156064,0.6752966558791802,20.17259978425027,59.54692556634305,0.30528586839266453,P5_S1.5,5,1.5,f741f95b
0.05,0.075,Overall,1256,0.30191519642402587,15.218497362452874,0.6926751592356688,15.286624203821656,62.181528662420384,0.32643312101910826,P10_S2.0,10,2.0,5edc4365
0.03,0.05,Overall,1331,0.1949763211237181,15.011720345915018,0.7903831705484599,20.435762584522916,78.73779113448535,0.03906836964688205,P6_S1.0,6,1.0,79c61e64
0.05,0.075,Overall,1877,0.38550618795303104,14.876497322486866,0.6670218433670752,19.01971230687267,58.01811401172083,0.4597762386787427,P9_S1.5,9,1.5,8556e02b
0.075,0.1,Overall,1231,0.3912384928349566,14.666089826635908,0.6636880584890333,12.103980503655565,51.74654752233956,0.503655564581641,P6_S1.5,6,1.5,9782389a
0.05,0.075,Overall,1386,0.30609878719806916,14.592101579870109,0.6753246753246753,15.945165945165945,59.59595959595959,0.38167388167388167,P11_S2.0,11,2.0,b9277649
0.05,0.1,Overall,1030,0.34633765423073637,14.470152520404284,0.6621359223300971,22.52427184466019,56.310679611650485,0.3941747572815534,P5_S1.0,5,1.0,975873db
