strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_0,975873db5ee0,bollinger_bands,SPY_1m,1m,,5,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_0.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_1,f741f95b6230,bollinger_bands,SPY_1m,1m,,5,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_1.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_2,88f1d72f064b,bollinger_bands,SPY_1m,1m,,5,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_2.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_3,0230a823d3e5,bollinger_bands,SPY_1m,1m,,5,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_3.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_4,79c61e645ec0,bollinger_bands,SPY_1m,1m,,6,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_4.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_5,9782389a00fd,bollinger_bands,SPY_1m,1m,,6,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_5.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_6,cf048b489742,bollinger_bands,SPY_1m,1m,,6,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_6.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_7,50315506f3f2,bollinger_bands,SPY_1m,1m,,6,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_7.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_8,d646f0a45e58,bollinger_bands,SPY_1m,1m,,7,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_8.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_9,4e519de3bff3,bollinger_bands,SPY_1m,1m,,7,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_9.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_10,59949bee051c,bollinger_bands,SPY_1m,1m,,7,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_10.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_11,210c43d89150,bollinger_bands,SPY_1m,1m,,7,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_11.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_12,e4da0e19b660,bollinger_bands,SPY_1m,1m,,8,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_12.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_13,28a7fe05d5a6,bollinger_bands,SPY_1m,1m,,8,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_13.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_14,28243fea1f01,bollinger_bands,SPY_1m,1m,,8,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_14.parquet,0,0,0,0,0,0,0,0,
