strategy,config,initial_stop,trail_stop,initial_target,trail_target,num_trades,total_return,sharpe_ratio,win_rate,avg_return,avg_duration,stop_exits,trailing_stop_exits,target_exits,trailing_target_exits,signal_exits,avg_max_profit
P48_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,3398,-0.505012138349078,-19.458603757633767,0.3911124190700412,-0.00020677237305644452,2.942907592701589,1009,0,0,0,2389,0.06007826928422492
P48_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,3398,-0.505012138349078,-19.458603757633767,0.3911124190700412,-0.00020677237305644452,2.942907592701589,1009,0,0,0,2389,0.06007826928422492
P48_S1.0,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,3398,-0.5067985981249897,-17.226185284086608,0.4149499705709241,-0.00020779058463722282,3.579458505002943,802,0,0,0,2596,0.060923029324548406
P48_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,3398,-0.24558070146037547,-11.602392576420316,0.28487345497351385,-8.285850399002002e-05,0.5988816951147734,1338,1480,0,0,580,0.05551362738766246
P48_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,3398,-0.416387845480615,-21.212774519992752,0.2886992348440259,-0.00015839058832794588,1.3042966450853444,1402,715,0,0,1281,0.057381089318779915
P48_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,3398,-0.47454159291019093,-22.30453163314743,0.3237198351971748,-0.0001892528814249147,2.0412007062978224,1225,365,0,0,1808,0.05886346416935788
P48_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,3398,-0.24558070146037547,-11.602392576420316,0.28487345497351385,-8.285850399002002e-05,0.5988816951147734,1338,1480,0,0,580,0.05551362738766246
P48_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,3398,-0.416387845480615,-21.212774519992752,0.2886992348440259,-0.00015839058832794588,1.3042966450853444,1402,715,0,0,1281,0.057381089318779915
P48_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,3398,-0.47454159291019093,-22.30453163314743,0.3237198351971748,-0.0001892528814249147,2.0412007062978224,1225,365,0,0,1808,0.05886346416935788
P48_S1.0,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,3398,-0.33366098914400555,-11.12177889425013,0.44084755738669806,-0.00011930119546129036,2.6344908769864626,855,0,407,0,2136,0.059317977614991343
P48_S1.0,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,3398,-0.4946948374529164,-10.24490015820013,0.4476162448499117,-0.00020032438470246475,6.824896998234255,0,0,0,0,3398,0.06250446854584983
P43_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,3398,-0.5152458101540673,-19.906180095233914,0.38434373160682755,-0.00021291712513995384,2.8104767510300177,1023,0,0,0,2375,0.06092030509073991
P43_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,3398,-0.5152458101540673,-19.906180095233914,0.38434373160682755,-0.00021291712513995384,2.8104767510300177,1023,0,0,0,2375,0.06092030509073991
P43_S1.0,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,3398,-0.5034820780625635,-17.056279138869428,0.41377280753384343,-0.0002058185206298281,3.4217186580341377,789,0,0,0,2609,0.06182024153178114
P43_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,3398,-0.23415577977931656,-10.881583229759395,0.2869334902884049,-7.843420025287658e-05,0.5429664508534432,1328,1542,0,0,528,0.05664150783696952
P43_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,3398,-0.41752311910786866,-21.185941461750247,0.285167745732784,-0.00015896276267845537,1.2410241318422601,1425,738,0,0,1235,0.05838503721152703
P43_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,3398,-0.4768749275811949,-22.407317989141234,0.31989405532666276,-0.00019056189928169998,1.946144791053561,1252,365,0,0,1781,0.05977908699994183
P43_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,3398,-0.23415577977931656,-10.881583229759395,0.2869334902884049,-7.843420025287658e-05,0.5429664508534432,1328,1542,0,0,528,0.05664150783696952
P43_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,3398,-0.41752311910786866,-21.185941461750247,0.285167745732784,-0.00015896276267845537,1.2410241318422601,1425,738,0,0,1235,0.05838503721152703
P43_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,3398,-0.4768749275811949,-22.407317989141234,0.31989405532666276,-0.00019056189928169998,1.946144791053561,1252,365,0,0,1781,0.05977908699994183
P43_S1.0,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,3398,-0.3426218528171089,-11.485329598282208,0.4355503237198352,-0.00012328493800194083,2.4952913478516776,860,0,408,0,2130,0.06021025770691442
P43_S1.0,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,3398,-0.4883715942402911,-10.371367197609178,0.44732195409064157,-0.0001966970898299455,6.354031783402001,0,0,0,0,3398,0.06324062699062775
P42_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,3395,-0.5166968717210971,-20.054458470346763,0.38262150220913105,-0.00021398913866120992,2.7711340206185566,1020,0,0,0,2375,0.060828819897219166
P42_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,3395,-0.5166968717210971,-20.054458470346763,0.38262150220913105,-0.00021398913866120992,2.7711340206185566,1020,0,0,0,2375,0.060828819897219166
P42_S1.0,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,3395,-0.5101895583406832,-17.399288908059372,0.41030927835051545,-0.0002100060252965735,3.372017673048601,796,0,0,0,2599,0.06169407477321361
P42_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,3395,-0.23727048154131103,-11.072721955300215,0.2833578792341679,-7.970412122766528e-05,0.5422680412371134,1320,1537,0,0,538,0.05646249297286516
P42_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,3395,-0.41813753066417414,-21.295671471677192,0.28306332842415316,-0.00015941453805429687,1.234756995581738,1408,742,0,0,1245,0.05836413840206561
P42_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,3395,-0.47566528212574644,-22.239556920536316,0.31840942562592045,-0.00019004928584355097,1.923416789396171,1245,366,0,0,1784,0.0597869842404966
P42_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,3395,-0.23727048154131103,-11.072721955300215,0.2833578792341679,-7.970412122766528e-05,0.5422680412371134,1320,1537,0,0,538,0.05646249297286516
P42_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,3395,-0.41813753066417414,-21.295671471677192,0.28306332842415316,-0.00015941453805429687,1.234756995581738,1408,742,0,0,1245,0.05836413840206561
P42_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,3395,-0.47566528212574644,-22.239556920536316,0.31840942562592045,-0.00019004928584355097,1.923416789396171,1245,366,0,0,1784,0.0597869842404966
P42_S1.0,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,3395,-0.3437823257523638,-11.530228745942829,0.43357879234167895,-0.0001239141408871728,2.465095729013255,860,0,407,0,2128,0.06013878624608218
P42_S1.0,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,3395,-0.49385530856420057,-10.555385856529265,0.44447717231222383,-0.0002000459347258551,6.251251840942563,0,0,0,0,3395,0.06312444852815623
P47_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,3388,-0.5115293803512063,-19.89771754909775,0.3902007083825266,-0.00021129495865497333,2.9409681227863045,1015,0,0,0,2373,0.060346887492778875
P47_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,3388,-0.5115293803512063,-19.89771754909775,0.3902007083825266,-0.00021129495865497333,2.9409681227863045,1015,0,0,0,2373,0.060346887492778875
P47_S1.0,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,3388,-0.5086374534967626,-17.395084063216395,0.4152892561983471,-0.00020950795111904227,3.570543093270366,799,0,0,0,2589,0.061220122244042274
P47_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,3388,-0.24804025119091933,-11.736412280146636,0.2845336481700118,-8.406681920289303e-05,0.5785123966942148,1355,1485,0,0,548,0.05575392961631619
P47_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,3388,-0.4197249811238323,-21.42442766856619,0.28659976387249114,-0.00016055026744362345,1.287190082644628,1411,717,0,0,1260,0.057646103727013266
P47_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,3388,-0.4753275215902262,-22.275997797734725,0.3246753246753247,-0.00019025241338802907,2.033353010625738,1231,362,0,0,1795,0.059163903358332846
P47_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,3388,-0.24804025119091933,-11.736412280146636,0.2845336481700118,-8.406681920289303e-05,0.5785123966942148,1355,1485,0,0,548,0.05575392961631619
P47_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,3388,-0.4197249811238323,-21.42442766856619,0.28659976387249114,-0.00016055026744362345,1.287190082644628,1411,717,0,0,1260,0.057646103727013266
P47_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,3388,-0.4753275215902262,-22.275997797734725,0.3246753246753247,-0.00019025241338802907,2.033353010625738,1231,362,0,0,1795,0.059163903358332846
P47_S1.0,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,3388,-0.3393617042744713,-11.36481327244676,0.4409681227863046,-0.00012218923825672225,2.6233766233766236,858,0,404,0,2126,0.05961065195146377
P47_S1.0,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,3388,-0.4958663961520685,-10.39062150254033,0.44716646989374265,-0.0002016119631793525,6.760625737898465,0,0,0,0,3388,0.06281223358476103
P45_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.05% after 0.05%)",0.075,0.0,0.1,0.05,3387,-0.5098498978777187,-19.819025795105173,0.3870682019486271,-0.00021034442471517783,2.88869205786832,1013,0,0,0,2374,0.060796321123088456
P45_S1.0,"Stop: 0.075%, Target: 0.1% (trail 0.075% after 0.075%)",0.075,0.0,0.1,0.075,3387,-0.5098498978777187,-19.819025795105173,0.3870682019486271,-0.00021034442471517783,2.88869205786832,1013,0,0,0,2374,0.060796321123088456
P45_S1.0,"Stop: 0.1%, Target: 0.15% (trail 0.1% after 0.1%)",0.1,0.0,0.15,0.1,3387,-0.502188469121494,-17.093522154457723,0.4154118689105403,-0.000205721212173845,3.491585473870682,792,0,0,0,2595,0.06168623239950397
P45_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15%",0.1,0.05,0.15,0.0,3387,-0.24397480273283678,-11.431245629015962,0.28018895777974606,-8.249878881296148e-05,0.5518157661647476,1338,1519,0,0,530,0.056202019114740355
P45_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2%",0.1,0.075,0.2,0.0,3387,-0.4174221279585657,-21.214343574506312,0.28461765574254505,-0.00015942807069546647,1.2704458222615884,1418,727,0,0,1242,0.05813295732634577
P45_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3%",0.15,0.1,0.3,0.0,3387,-0.4757876645350463,-22.370557770938944,0.3203424859757898,-0.00019056816108985335,1.991142604074402,1241,366,0,0,1780,0.05958538899805593
P45_S1.0,"Stop: 0.1% (trail 0.05%), Target: 0.15% (trail 0.05% after 0.1%)",0.1,0.05,0.15,0.05,3387,-0.24397480273283678,-11.431245629015962,0.28018895777974606,-8.249878881296148e-05,0.5518157661647476,1338,1519,0,0,530,0.056202019114740355
P45_S1.0,"Stop: 0.1% (trail 0.075%), Target: 0.2% (trail 0.1% after 0.1%)",0.1,0.075,0.2,0.1,3387,-0.4174221279585657,-21.214343574506312,0.28461765574254505,-0.00015942807069546647,1.2704458222615884,1418,727,0,0,1242,0.05813295732634577
P45_S1.0,"Stop: 0.15% (trail 0.1%), Target: 0.3% (trail 0.15% after 0.15%)",0.15,0.1,0.3,0.15,3387,-0.4757876645350463,-22.370557770938944,0.3203424859757898,-0.00019056816108985335,1.991142604074402,1241,366,0,0,1780,0.05958538899805593
P45_S1.0,"Stop: 0.075%, Target: 0.1%",0.075,0.0,0.1,0.0,3387,-0.3338701059771656,-11.128044779440675,0.4390315913788013,-0.00011978122124054312,2.5689400649542367,855,0,410,0,2122,0.06005211967098589
P45_S1.0,"Stop: 0%, Target: 0%",0.0,0.0,0.0,0.0,3387,-0.4902170694872071,-10.215260724268807,0.4478889873043992,-0.00019838137391863404,6.578092707410688,0,0,0,0,3387,0.06319727075600827
