num,entry_time,entry_price,dir,stop,target,exit_type,exit_price,exit_time,bars,return,entry_signal,exit_signal
1,2024-03-26 15:45:00+00:00,521.11,LONG,520.7191675,521.6311099999999,signal,521.3969,2024-03-26 15:55:00+00:00,3,0.00045055554489444835,1.0,0.0
2,2024-03-26 19:25:00+00:00,520.21,LONG,519.8198425,520.7302099999999,stop,519.8198425,2024-03-26 19:30:00+00:00,2,-0.0008499999999999743,1.0,0.0
3,2024-03-26 19:40:00+00:00,519.19,LONG,518.8006075000001,519.70919,target,519.70919,2024-03-26 19:40:00+00:00,1,0.0008999999999999622,1.0,0.0
4,2024-03-27 13:30:00+00:00,521.45,SHORT,521.8410875000001,520.9285500000001,signal,521.49,2024-03-27 13:35:00+00:00,2,-0.00017670917633514933,-1.0,0.0
5,2024-03-27 16:30:00+00:00,520.29,SHORT,520.6802175,519.7697099999999,signal,520.1983,2024-03-27 16:35:00+00:00,2,7.624786176929436e-05,-1.0,0.0
6,2024-03-27 18:15:00+00:00,520.61,SHORT,521.0004575,520.08939,signal,520.84,2024-03-27 18:25:00+00:00,3,-0.0005417894393116117,-1.0,0.0
7,2024-03-27 19:15:00+00:00,519.97,LONG,519.5800225,520.48997,target,520.48997,2024-03-27 19:20:00+00:00,2,0.000899999999999892,1.0,0.0
8,2024-03-27 19:25:00+00:00,520.9,SHORT,521.290675,520.3791,target,520.3791,2024-03-27 19:25:00+00:00,1,0.0008999999999999679,-1.0,0.0
9,2024-03-28 18:40:00+00:00,523.14,LONG,522.7476449999999,523.6631399999999,signal,523.3901,2024-03-28 18:45:00+00:00,2,0.00037807470275638433,1.0,0.0
10,2024-03-28 18:55:00+00:00,524.13,SHORT,524.5230975000001,523.60587,target,523.60587,2024-03-28 18:55:00+00:00,1,0.0009000000000000262,-1.0,0.0
11,2024-04-01 14:15:00+00:00,522.9601,LONG,522.5678799249999,523.4830601,target,523.4830601,2024-04-01 14:15:00+00:00,1,0.0008999999999999568,1.0,0.0
12,2024-04-01 15:15:00+00:00,521.605,LONG,521.21379625,522.1266049999999,signal,521.815,2024-04-01 15:20:00+00:00,2,0.0003026035026505428,1.0,0.0
13,2024-04-01 15:50:00+00:00,521.254,LONG,520.8630595,521.775254,target,521.775254,2024-04-01 15:50:00+00:00,1,0.000899999999999998,1.0,0.0
14,2024-04-01 17:20:00+00:00,521.09,LONG,520.6991825,521.61109,target,521.61109,2024-04-01 17:25:00+00:00,2,0.00089999999999992,1.0,0.0
15,2024-04-01 19:35:00+00:00,521.6912,LONG,521.2999315999999,522.2128912,signal,522.125,2024-04-01 19:40:00+00:00,2,0.0007315263895576909,1.0,0.0
16,2024-04-01 19:50:00+00:00,522.475,SHORT,522.8668562500001,521.952525,target,521.952525,2024-04-01 19:50:00+00:00,1,0.0008999999999999727,-1.0,0.0
17,2024-04-02 13:30:00+00:00,517.95,LONG,517.5615375,518.46795,stop,517.5615375,2024-04-02 13:35:00+00:00,2,-0.0008500000000001152,1.0,0.0
18,2024-04-02 15:10:00+00:00,517.65,SHORT,518.0382375,517.13235,signal,517.7904,2024-04-02 15:15:00+00:00,2,-0.0003712257316719784,-1.0,0.0
19,2024-04-02 16:45:00+00:00,517.9,SHORT,518.288425,517.3820999999999,signal,517.8176,2024-04-02 16:50:00+00:00,2,5.91040741456013e-05,-1.0,0.0
20,2024-04-02 19:00:00+00:00,518.17,SHORT,518.5586275,517.6518299999999,stop,518.5586275,2024-04-02 19:05:00+00:00,2,-0.0008499999999999695,-1.0,0.0
21,2024-04-03 14:00:00+00:00,519.97,SHORT,520.3599775,519.4500300000001,target,519.4500300000001,2024-04-03 14:00:00+00:00,1,0.000899999999999892,-1.0,0.0
22,2024-04-03 15:50:00+00:00,520.305,LONG,519.91477125,520.8253049999998,stop,519.91477125,2024-04-03 16:00:00+00:00,3,-0.000850000000000011,1.0,0.0
23,2024-04-03 16:35:00+00:00,519.5,LONG,519.110375,520.0195,target,520.0195,2024-04-03 16:35:00+00:00,1,0.0008999999999999876,1.0,0.0
24,2024-04-03 18:25:00+00:00,520.205,LONG,519.8148462500001,520.725205,signal,520.21,2024-04-03 18:30:00+00:00,2,-9.038840457128354e-05,1.0,0.0
