strategy_hash,strategy_type,original_sharpe,original_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,sharpe_improvement,return_improvement,num_trades,period,std_dev
572097140686,bollinger_bands,-3.6135565485634458,-0.23900463557861873,0.075,0.1,9.552010806139107,0.4800333252790099,13.165567354702553,0.7190379608576286,2843,10,1.0
3bee7e1ff576,bollinger_bands,-1.42660239952219,-0.07396443740828851,0.075,0.1,14.065222731490431,0.6532048746036512,15.491825131012622,0.7271693120119397,2326,10,1.5
5edc43651004,bollinger_bands,-1.7630954983570788,-0.05964115025004191,0.075,0.1,14.301527577246926,0.4028742003872332,16.064623075604004,0.4625153506372751,1036,10,2.0
846869fc71e7,bollinger_bands,-0.6418063573307546,-0.012262972035894881,0.05,0.1,7.0693216249567925,0.08873705068162563,7.711127982287547,0.10100002271752051,251,10,2.5
84ad2d3299c8,bollinger_bands,-3.8664153489375686,-0.2571022101367929,0.075,0.1,9.67350619116689,0.4755778172720426,13.539921540104459,0.7326800274088355,2736,11,1.0
7ffc4afaadf1,bollinger_bands,-1.476725799677883,-0.07684772309480259,0.075,0.1,13.923649376718176,0.6280970815082438,15.400375176396059,0.7049448046030464,2237,11,1.5
b9277649d929,bollinger_bands,-0.9582041916412348,-0.03406445216002629,0.075,0.1,14.256050567520141,0.40396016442741645,15.214254759161376,0.43802461658744274,1049,11,2.0
25d4fba7043d,bollinger_bands,-1.149449059061371,-0.023970145779756535,0.05,0.1,8.22248052190524,0.11313603348231172,9.371929580966611,0.13710617926206825,301,11,2.5
80e0a9bfbbe3,bollinger_bands,0.5095358758685852,0.005685262242799638,0.1,0.15,0.9876401962525541,0.007006142302842022,0.4781043203839689,0.0013208800600423842,45,11,3.0
4067c07319e8,bollinger_bands,-4.083717755505111,-0.27388463172775823,0.075,0.1,9.496748906901038,0.45500028265361037,13.580466662406149,0.7288849143813686,2603,12,1.0
f9a95a9ec1bb,bollinger_bands,-2.259018301411401,-0.11501448344924814,0.075,0.1,12.5773915733318,0.5461894084517442,14.8364098747432,0.6612038919009924,2145,12,1.5
3f61275abdc4,bollinger_bands,-0.8523183415306538,-0.030342759613166792,0.075,0.1,13.529894694782147,0.38309219805291916,14.3822130363128,0.41343495766608596,1035,12,2.0
18377913515d,bollinger_bands,-1.0324564059912444,-0.02173574299206804,0.05,0.1,7.767510598077592,0.11372310349530257,8.799967004068836,0.1354588464873706,340,12,2.5
f211c3bbe899,bollinger_bands,0.4329163007882267,0.005121409210082639,0.1,0.15,1.7297397438402156,0.015839844458231944,1.296823443051989,0.010718435248149305,70,12,3.0
7755af75d5bf,bollinger_bands,-3.935631603301824,-0.27158316093209556,0.075,0.1,8.792822701455771,0.40856738583748564,12.728454304757594,0.6801505467695812,2494,13,1.0
6312bf78024e,bollinger_bands,-1.9505428282207558,-0.10278650198574935,0.075,0.1,12.809077515281691,0.5496082465250407,14.759620343502448,0.65239474851079,2084,13,1.5
47f300ade5d5,bollinger_bands,-1.5351561653151191,-0.053280799277270585,0.075,0.1,12.558556390921698,0.3503502004957759,14.093712556236817,0.4036309997730465,1008,13,2.0
643f7aa63f16,bollinger_bands,-1.4510500704722,-0.03163242992064497,0.05,0.1,8.555423878806305,0.12756516628646541,10.006473949278504,0.15919759620711038,360,13,2.5
d3ced64f1e75,bollinger_bands,-0.41787557832475386,-0.005716917375027886,0.1,0.15,2.403893913394009,0.02645001658841095,2.821769491718763,0.03216693396343884,99,13,3.0
b515bfeac94d,bollinger_bands,-3.7951307141788475,-0.2604010398959352,0.075,0.1,8.398990196138362,0.3819403060786051,12.19412091031721,0.6423413459745403,2409,14,1.0
7ac75d9a0237,bollinger_bands,-1.7211940836151465,-0.09477049977520924,0.075,0.1,12.573995173646773,0.5292417895549826,14.29518925726192,0.6240122893301918,2012,14,1.5
f1ad6d1f3a6b,bollinger_bands,-1.102031771825065,-0.03854205155667101,0.075,0.1,13.046506069024339,0.36037939457980017,14.148537840849404,0.3989214461364712,1001,14,2.0
