num,entry_time,entry_price,exit_time,exit_price,dir,exit_type,return,bars,stop,target
1,2025-06-29 10:02:00.623322,521.11,2025-06-29 10:02:00.624325,521.4,LONG,signal,0.00045650438487068685,1,520.7191675,521.6311099999999
2,2025-06-29 10:02:00.624765,521.4,2025-06-29 10:02:00.625468,521.3969,SHORT,signal,-9.405446873797921e-05,1,521.79105,520.8786
3,2025-06-29 10:02:00.639306,520.21,2025-06-29 10:02:00.640204,519.8198425,LONG,stop,-0.0008499999999999743,1,519.8198425,520.7302099999999
4,2025-06-29 10:02:00.641370,519.19,2025-06-29 10:02:00.642123,519.1114,LONG,signal,-0.0002513896646700655,1,518.8006075000001,519.70919
5,2025-06-29 10:02:00.643628,521.45,2025-06-29 10:02:00.644294,521.49,SHORT,signal,-0.00017670917633514933,1,521.8410875000001,520.9285500000001
6,2025-06-29 10:02:00.655314,520.29,2025-06-29 10:02:00.656007,520.1983,SHORT,signal,7.624786176929436e-05,1,520.6802175,519.7697099999999
7,2025-06-29 10:02:00.661889,520.61,2025-06-29 10:02:00.662874,520.84,SHORT,signal,-0.0005417894393116117,1,521.0004575,520.08939
8,2025-06-29 10:02:00.666426,519.97,2025-06-29 10:02:00.667242,520.48997,LONG,target,0.000899999999999892,1,519.5800225,520.48997
9,2025-06-29 10:02:00.667988,520.9,2025-06-29 10:02:00.669121,521.290675,SHORT,stop,-0.000849999999999976,1,521.290675,520.3791
10,2025-06-29 10:02:00.691555,523.14,2025-06-29 10:02:00.692587,523.3901,LONG,signal,0.00037807470275638433,1,522.7476449999999,523.6631399999999
11,2025-06-29 10:02:00.693575,524.13,2025-06-29 10:02:00.694258,523.8,SHORT,signal,0.0005296147902238775,1,524.5230975000001,523.60587
12,2025-06-29 10:02:00.700791,522.9601,2025-06-29 10:02:00.701603,523.205,LONG,signal,0.00036829576482035563,1,522.5678799249999,523.4830601
13,2025-06-29 10:02:00.705292,521.605,2025-06-29 10:02:00.706089,521.815,LONG,signal,0.0003026035026505428,1,521.21379625,522.1266049999999
14,2025-06-29 10:02:00.708319,521.254,2025-06-29 10:02:00.709415,521.595,LONG,signal,0.0005541916225103465,1,520.8630595,521.775254
15,2025-06-29 10:02:00.714595,521.09,2025-06-29 10:02:00.715468,521.61109,LONG,target,0.00089999999999992,1,520.6991825,521.61109
16,2025-06-29 10:02:00.723855,521.6912,2025-06-29 10:02:00.724637,522.125,LONG,signal,0.0007315263895576909,1,521.2999315999999,522.2128912
17,2025-06-29 10:02:00.725611,522.475,2025-06-29 10:02:00.726274,522.22,SHORT,signal,0.00038806162974304117,1,522.8668562500001,521.952525
18,2025-06-29 10:02:00.727298,517.95,2025-06-29 10:02:00.728128,517.5615375,LONG,stop,-0.0008500000000001152,1,517.5615375,518.46795
19,2025-06-29 10:02:00.733775,517.65,2025-06-29 10:02:00.734566,517.7904,SHORT,signal,-0.0003712257316719784,1,518.0382375,517.13235
20,2025-06-29 10:02:00.740261,517.9,2025-06-29 10:02:00.741054,517.8176,SHORT,signal,5.91040741456013e-05,1,518.288425,517.3820999999999
21,2025-06-29 10:02:00.749177,518.17,2025-06-29 10:02:00.750041,518.5586275,SHORT,stop,-0.0008499999999999695,1,518.5586275,517.6518299999999
22,2025-06-29 10:02:00.755887,519.97,2025-06-29 10:02:00.756646,519.54,SHORT,signal,0.0007269707867762825,1,520.3599775,519.4500300000001
23,2025-06-29 10:02:00.763176,520.305,2025-06-29 10:02:00.764193,519.9147713,LONG,stop,-0.0008499999039024535,1,519.91477125,520.8253049999998
24,2025-06-29 10:02:00.766690,519.5,2025-06-29 10:02:00.767441,520.0195,LONG,target,0.0008999999999999876,1,519.110375,520.0195
25,2025-06-29 10:02:00.773280,520.205,2025-06-29 10:02:00.773932,520.21,LONG,signal,-9.038840457128354e-05,1,519.8148462500001,520.725205
26,2025-06-29 10:02:00.776328,518.73,2025-06-29 10:02:00.777050,518.3409525,LONG,stop,-0.0008500000000001168,1,518.3409525,519.2487299999999
27,2025-06-29 10:02:00.779960,523.53,2025-06-29 10:02:00.780853,523.00647,SHORT,target,0.0008999999999998796,1,523.9226475,523.0064699999999
28,2025-06-29 10:02:00.786529,522.46,2025-06-29 10:02:00.787221,522.42,LONG,signal,-0.00017656088504397908,1,522.068155,522.98246
29,2025-06-29 10:02:00.790130,523.775,2025-06-29 10:02:00.790912,523.58,SHORT,signal,0.0002722972650468929,1,524.16783125,523.251225
30,2025-06-29 10:02:00.794540,523.24,2025-06-29 10:02:00.795414,523.4214,LONG,signal,0.0002466860331777762,1,522.84757,523.76324
31,2025-06-29 10:02:00.797587,522.655,2025-06-29 10:02:00.798300,522.2630088,LONG,stop,-0.0008499999043346123,1,522.2630087499999,523.177655
32,2025-06-29 10:02:00.799210,521.86,2025-06-29 10:02:00.799914,521.468605,LONG,stop,-0.0008499999999999782,1,521.468605,522.38186
33,2025-06-29 10:02:00.807852,515.375,2025-06-29 10:02:00.808723,515.7615313,SHORT,stop,-0.0008500000970167382,1,515.76153125,514.859625
34,2025-06-29 10:02:00.812659,517.03,2025-06-29 10:02:00.813511,517.4177725,SHORT,stop,-0.0008499999999999668,1,517.4177725,516.51297
35,2025-06-29 10:02:00.817130,518.85,2025-06-29 10:02:00.817786,518.8001,SHORT,signal,-3.825768526588368e-06,1,519.2391375000001,518.33115
36,2025-06-29 10:02:00.821601,520.3398,2025-06-29 10:02:00.822311,519.8194602,SHORT,target,0.0008999999999999768,1,520.73005485,519.8194602
37,2025-06-29 10:02:00.825517,518.23,2025-06-29 10:02:00.826317,517.8413275,LONG,stop,-0.0008499999999999696,1,517.8413275,518.7482299999999
38,2025-06-29 10:02:00.832683,518.97,2025-06-29 10:02:00.833426,518.45103,SHORT,target,0.0009000000000001563,1,519.3592275000001,518.4510300000001
39,2025-06-29 10:02:00.834608,519.1799,2025-06-29 10:02:00.835328,518.6607201,SHORT,target,0.0008999999999998584,1,519.569284925,518.6607200999999
40,2025-06-29 10:02:00.838724,519.16,2025-06-29 10:02:00.839444,519.54937,SHORT,stop,-0.0008499999999999719,1,519.54937,518.6408399999999
41,2025-06-29 10:02:00.843626,519.09,2025-06-29 10:02:00.844290,519.04,LONG,signal,-0.00019632241037212855,1,518.7006825,519.6090899999999
42,2025-06-29 10:02:00.856056,519.62,2025-06-29 10:02:00.856915,519.10038,SHORT,target,0.0009000000000000609,1,520.009715,519.10038
43,2025-06-29 10:02:00.857688,518.62,2025-06-29 10:02:00.858449,518.87,LONG,signal,0.0003820485133623848,1,518.231035,519.13862
44,2025-06-29 10:02:00.860064,520.06,2025-06-29 10:02:00.860891,520.450045,SHORT,stop,-0.0008500000000001926,1,520.4500449999999,519.53994
45,2025-06-29 10:02:00.864185,517.59,2025-06-29 10:02:00.865016,517.2018075,LONG,stop,-0.0008500000000001144,1,517.2018075,518.10759
46,2025-06-29 10:02:00.872420,517.745,2025-06-29 10:02:00.873176,517.67,SHORT,signal,4.485895566359013e-05,1,518.13330875,517.227255
47,2025-06-29 10:02:00.874529,516.64,2025-06-29 10:02:00.875283,516.79,LONG,signal,0.00019033756580980423,1,516.25252,517.1566399999999
48,2025-06-29 10:02:00.883158,515.915,2025-06-29 10:02:00.883970,516.07,LONG,signal,0.00020043708750489215,1,515.52806375,516.4309149999999
49,2025-06-29 10:02:00.885036,517.39,2025-06-29 10:02:00.885894,517.7780425,SHORT,stop,-0.0008499999999999675,1,517.7780425,516.87261
50,2025-06-29 10:02:00.888756,513.3899,2025-06-29 10:02:00.889563,513.0048576,LONG,stop,-0.0008499999513040182,1,513.004857575,513.9032899
51,2025-06-29 10:02:00.893257,515.955,2025-06-29 10:02:00.893978,515.439045,SHORT,target,0.0009000000000001479,1,516.34196625,515.4390450000001
52,2025-06-29 10:02:00.902026,513.95,2025-06-29 10:02:00.902841,514.3354625,SHORT,stop,-0.0008499999999998117,1,514.3354625000001,513.43605
53,2025-06-29 10:02:00.903778,512.16,2025-06-29 10:02:00.904504,512.67216,LONG,target,0.0008999999999999891,1,511.77588,512.67216
54,2025-06-29 10:02:00.921998,514.14,2025-06-29 10:02:00.922871,514.525605,SHORT,stop,-0.0008500000000001071,1,514.525605,513.62586
55,2025-06-29 10:02:00.924286,515.34,2025-06-29 10:02:00.925070,515.12,SHORT,signal,0.0003269026273916779,1,515.7265050000001,514.82466
56,2025-06-29 10:02:00.929054,516.16,2025-06-29 10:02:00.929928,516.54712,SHORT,stop,-0.0008499999999999646,1,516.54712,515.64384
57,2025-06-29 10:02:00.933985,519.02,2025-06-29 10:02:00.934751,518.71,SHORT,signal,0.000497279488266243,1,519.409265,518.50098
58,2025-06-29 10:02:00.941863,514.98,2025-06-29 10:02:00.942633,515.15,LONG,signal,0.00023010990718078193,1,514.593765,515.4949799999999
59,2025-06-29 10:02:00.951911,512.64,2025-06-29 10:02:00.952759,512.25552,LONG,stop,-0.0008499999999998821,1,512.2555199999999,513.1526399999999
60,2025-06-29 10:02:00.956653,509.815,2025-06-29 10:02:00.957417,509.7,LONG,signal,-0.0003255720212234028,1,509.43263874999997,510.32481499999994
61,2025-06-29 10:02:00.961316,509.83,2025-06-29 10:02:00.962084,510.33983,LONG,target,0.0009000000000000436,1,509.44762749999995,510.33982999999995
62,2025-06-29 10:02:00.966040,510.49,2025-06-29 10:02:00.967210,510.8728675,SHORT,stop,-0.0008499999999999507,1,510.87286750000004,509.97951
63,2025-06-29 10:02:00.968571,514.4,2025-06-29 10:02:00.969350,514.7,SHORT,signal,-0.0006832037325040207,1,514.7858,513.8856
64,2025-06-29 10:02:00.980715,510.7,2025-06-29 10:02:00.981394,510.6,LONG,signal,-0.0002958096729977793,1,510.31697499999996,511.2106999999999
65,2025-06-29 10:02:00.984638,508.64,2025-06-29 10:02:00.985507,508.25852,LONG,stop,-0.0008500000000000207,1,508.25852,509.14863999999994
66,2025-06-29 10:02:01.001731,504.1293,2025-06-29 10:02:01.002534,504.1821,SHORT,signal,-0.000204735035237965,1,504.507396975,503.6251707
67,2025-06-29 10:02:01.004471,505.3,2025-06-29 10:02:01.005328,504.7947,SHORT,target,0.000900000000000067,1,505.67897500000004,504.79470000000003
68,2025-06-29 10:02:01.009634,503.93,2025-06-29 10:02:01.010491,504.43393,LONG,target,0.0008999999999999373,1,503.5520525,504.43393
69,2025-06-29 10:02:01.012498,503.4701,2025-06-29 10:02:01.013345,503.9735701,LONG,target,0.0009000000000000308,1,503.092497425,503.97357009999996
70,2025-06-29 10:02:01.015631,506.295,2025-06-29 10:02:01.016497,505.788705,SHORT,target,0.0009000000000000451,1,506.67472125,505.788705
71,2025-06-29 10:02:01.021601,503.855,2025-06-29 10:02:01.022367,504.358855,LONG,target,0.0008999999999999746,1,503.47710875,504.35885499999995
72,2025-06-29 10:02:01.029164,502.47,2025-06-29 10:02:01.030086,502.97247,LONG,target,0.00089999999999992,1,502.0931475,502.97247
73,2025-06-29 10:02:01.043557,503.87,2025-06-29 10:02:01.044418,503.36613,SHORT,target,0.0009000000000000123,1,504.2479025,503.36613
74,2025-06-29 10:02:01.048419,501.63,2025-06-29 10:02:01.049287,501.12837,SHORT,target,0.0008999999999999549,1,502.00622250000004,501.12837
75,2025-06-29 10:02:01.060994,501.65,2025-06-29 10:02:01.061712,502.15165,LONG,target,0.0009000000000000809,1,501.2737625,502.1516499999999
76,2025-06-29 10:02:01.062798,501.29,2025-06-29 10:02:01.063784,500.9140325,LONG,stop,-0.0008500000000000031,1,500.9140325,501.79128999999995
77,2025-06-29 10:02:01.078062,498.85,2025-06-29 10:02:01.078934,498.4758625,LONG,stop,-0.0008500000000000352,1,498.4758625,499.34884999999997
78,2025-06-29 10:02:01.085240,497.11,2025-06-29 10:02:01.086113,497.60711,LONG,target,0.0008999999999999269,1,496.7371675,497.60711
79,2025-06-29 10:02:01.087890,495.81,2025-06-29 10:02:01.088777,495.54,LONG,signal,-0.0006445634416409145,1,495.43814249999997,496.30580999999995
80,2025-06-29 10:02:01.091722,497.1,2025-06-29 10:02:01.092589,497.472825,SHORT,stop,-0.0008499999999999548,1,497.47282500000006,496.60290000000003
81,2025-06-29 10:02:01.096055,498.27,2025-06-29 10:02:01.096933,497.77173,SHORT,target,0.0008999999999999818,1,498.6437025,497.77173
82,2025-06-29 10:02:01.104373,497.22,2025-06-29 10:02:01.105163,497.24,SHORT,signal,-0.0001402236434575878,1,497.59291500000006,496.72278
83,2025-06-29 10:02:01.108276,496.755,2025-06-29 10:02:01.109153,496.3824338,LONG,stop,-0.000849999899346749,1,496.38243374999996,497.25175499999995
84,2025-06-29 10:02:01.113756,496.895,2025-06-29 10:02:01.114539,496.54,SHORT,signal,0.0006144366516063984,1,497.26767125,496.398105
85,2025-06-29 10:02:01.119506,498.41,2025-06-29 10:02:01.120313,498.56,SHORT,signal,-0.00040095704339796,1,498.7838075,497.91159000000005
86,2025-06-29 10:02:01.122220,500.04,2025-06-29 10:02:01.122985,500.18,SHORT,signal,-0.00037997760179182935,1,500.41503000000006,499.53996
87,2025-06-29 10:02:01.124617,501.77,2025-06-29 10:02:01.125469,501.26823,SHORT,target,0.0008999999999999302,1,502.1463275,501.26822999999996
88,2025-06-29 10:02:01.131443,499.5495,2025-06-29 10:02:01.132534,499.77,LONG,signal,0.00034139769932701086,1,499.17483787500004,500.04904949999997
89,2025-06-29 10:02:01.134292,501.4,2025-06-29 10:02:01.134993,501.77605,SHORT,stop,-0.0008500000000000413,1,501.77605,500.8986
90,2025-06-29 10:02:01.138864,505.02,2025-06-29 10:02:01.139794,504.51498,SHORT,target,0.0009000000000000037,1,505.39876499999997,504.51498
91,2025-06-29 10:02:01.148227,504.81,2025-06-29 10:02:01.149003,504.98,LONG,signal,0.0002367603652859807,1,504.4313925,505.31480999999997
92,2025-06-29 10:02:01.154891,505.36,2025-06-29 10:02:01.155657,505.73,LONG,signal,0.0006321513376602907,1,504.98098,505.86535999999995
93,2025-06-29 10:02:01.156399,505.21,2025-06-29 10:02:01.157176,505.245,LONG,signal,-3.072187803086833e-05,1,504.83109249999995,505.7152099999999
94,2025-06-29 10:02:01.161114,506.34,2025-06-29 10:02:01.161955,506.719755,SHORT,stop,-0.0008500000000000902,1,506.71975499999996,505.83365999999995
95,2025-06-29 10:02:01.172335,503.325,2025-06-29 10:02:01.173097,503.6,LONG,signal,0.0004463666616997648,1,502.94750624999995,503.82832499999995
96,2025-06-29 10:02:01.183026,505.8901,2025-06-29 10:02:01.183804,505.85,SHORT,signal,-2.0733772018872556e-05,1,506.269517575,505.38420990000003
