strategy_hash,strategy_type,original_sharpe,original_return,original_win_rate,original_avg_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,optimal_win_rate,optimal_avg_return,sharpe_improvement,return_improvement,win_rate_change,avg_return_change,num_trades,period,std_dev
572097140686,bollinger_bands,-3.6135565485634458,-0.23900463557861873,0.5867041857193106,-9.52560284319046e-05,0.5,1.0,-3.513857964194375,-0.21954678102125158,0.5867041857193106,-8.648065332353997e-05,0.09969858436907097,0.01945785455736715,0.0,8.775375108364627e-06,2843,10,1.0
3bee7e1ff576,bollinger_bands,-1.42660239952219,-0.07396443740828851,0.5464316423043852,-3.2540546254545114e-05,0.5,1.0,-1.291609836555384,-0.06545060971743633,0.5464316423043852,-2.8633491602142676e-05,0.13499256296680584,0.008513827690852183,0.0,3.907054652402438e-06,2326,10,1.5
5edc43651004,bollinger_bands,-1.7630954983570788,-0.05964115025004191,0.47876447876447875,-5.888241949794529e-05,0.2,0.4,-1.351830710885278,-0.0400934813406979,0.4777992277992278,-3.914136400360205e-05,0.41126478747180073,0.019547668909344007,-0.0009652509652509633,1.9741055494343238e-05,1036,10,2.0
846869fc71e7,bollinger_bands,-0.6418063573307546,-0.012262972035894881,0.4940239043824701,-4.856799655849256e-05,0.2,0.4,-0.43048698661469065,-0.007047788484533246,0.4940239043824701,-2.7748580061847197e-05,0.211319370716064,0.005215183551361635,0.0,2.081941649664536e-05,251,10,2.5
84ad2d3299c8,bollinger_bands,-3.8664153489375686,-0.2571022101367929,0.5950292397660819,-0.00010774741261827437,0.25,0.5,-3.67331634434738,-0.2082526537526962,0.5902777777777778,-8.47486121634088e-05,0.19309900459018836,0.048849556384096715,-0.004751461988304118,2.299880045486557e-05,2736,11,1.0
7ffc4afaadf1,bollinger_bands,-1.476725799677883,-0.07684772309480259,0.548949485918641,-3.5223253478020953e-05,0.5,1.0,-1.3985051963879702,-0.07154585343352104,0.548949485918641,-3.268403988214431e-05,0.07822060328991287,0.005301869661281544,0.0,2.5392135958766465e-06,2237,11,1.5
b9277649d929,bollinger_bands,-0.9582041916412348,-0.03406445216002629,0.5109628217349858,-3.254369622542508e-05,0.2,0.4,-0.5618529197982797,-0.017651367248928906,0.5090562440419447,-1.66022787030851e-05,0.39635127184295516,0.016413084911097386,-0.0019065776930410339,1.594141752233998e-05,1049,11,2.0
25d4fba7043d,bollinger_bands,-1.149449059061371,-0.023970145779756535,0.4950166112956811,-8.000327306439874e-05,0.2,0.4,-0.5308518571069701,-0.009499217652967684,0.4983388704318937,-3.127906539444276e-05,0.6185972019544009,0.014470928126788851,0.003322259136212591,4.872420766995598e-05,301,11,2.5
80e0a9bfbbe3,bollinger_bands,0.5095358758685852,0.005685262242799638,0.5555555555555556,0.00012713790264152068,0.2,0.4,0.6237131691288874,0.005094127825815864,0.5555555555555556,0.00011354755625553919,0.11417729326030224,-0.000591134416983774,0.0,-1.3590346385981486e-05,45,11,3.0
4067c07319e8,bollinger_bands,-4.083717755505111,-0.27388463172775823,0.5912408759124088,-0.00012199183566144719,0.2,0.4,-3.931067624374845,-0.20730743170042987,0.5820207452938917,-8.870444674533038e-05,0.15265013113026615,0.06657720002732836,-0.00922013061851712,3.328738891611681e-05,2603,12,1.0
f9a95a9ec1bb,bollinger_bands,-2.259018301411401,-0.11501448344924814,0.5575757575757576,-5.641309250423458e-05,0.5,1.0,-2.224926102351787,-0.11182815265232326,0.5575757575757576,-5.475335016374434e-05,0.034092199059613915,0.0031863307969248744,0.0,1.6597423404902451e-06,2145,12,1.5
3f61275abdc4,bollinger_bands,-0.8523183415306538,-0.030342759613166792,0.5140096618357488,-2.9270857087802836e-05,0.2,0.4,-0.6051546566355346,-0.01904242762007502,0.5111111111111111,-1.8193057009559024e-05,0.2471636848951192,0.011300331993091772,-0.0028985507246377384,1.1077800078243812e-05,1035,12,2.0
18377913515d,bollinger_bands,-1.0324564059912444,-0.02173574299206804,0.49117647058823527,-6.409529882942785e-05,0.2,0.4,-0.48279376280338554,-0.008814364853878431,0.49411764705882355,-2.5645595108153067e-05,0.5496626431878588,0.01292137813818961,0.0029411764705882804,3.8449703721274786e-05,340,12,2.5
f211c3bbe899,bollinger_bands,0.4329163007882267,0.005121409210082639,0.5285714285714286,7.382038492397404e-05,0.3,0.6,0.5561405393315915,0.005895430001712443,0.5285714285714286,8.46568246124423e-05,0.12322423854336478,0.0007740207916298036,0.0,1.0836439688468268e-05,70,12,3.0
7755af75d5bf,bollinger_bands,-3.935631603301824,-0.27158316093209556,0.5934242181234964,-0.00012600045282535734,0.0,0.0,-3.935631603301824,-0.27158316093209556,0.5934242181234964,-0.00012600045282535734,0.0,0.0,0.0,0.0,2494,13,1.0
6312bf78024e,bollinger_bands,-1.9505428282207558,-0.10278650198574935,0.5638195777351248,-5.144978199351534e-05,0.5,1.0,-1.845740292534556,-0.09462167249151043,0.5638195777351248,-4.7140115697301246e-05,0.10480253568619968,0.008164829494238912,0.0,4.309666296214094e-06,2084,13,1.5
47f300ade5d5,bollinger_bands,-1.5351561653151191,-0.053280799277270585,0.5,-5.380992111193025e-05,0.3,0.6,-1.3677076591360475,-0.04417644920292241,0.4990079365079365,-4.438791200001789e-05,0.1674485061790716,0.009104350074348178,-0.0009920634920634885,9.422009111912362e-06,1008,13,2.0
643f7aa63f16,bollinger_bands,-1.4510500704722,-0.03163242992064497,0.49166666666666664,-8.873257021594388e-05,0.2,0.4,-1.000321755702801,-0.019099912452940626,0.49444444444444446,-5.3150064745791584e-05,0.450728314769399,0.01253251746770434,0.0027777777777778234,3.55825054701523e-05,360,13,2.5
d3ced64f1e75,bollinger_bands,-0.41787557832475386,-0.005716917375027886,0.494949494949495,-5.714183490909638e-05,0.3,0.6,-0.39376679916841345,-0.004951242928473931,0.494949494949495,-4.947970583644205e-05,0.02410877915634041,0.0007656744465539544,0.0,7.662129072654334e-06,99,13,3.0
b515bfeac94d,bollinger_bands,-3.7951307141788475,-0.2604010398959352,0.5915317559153176,-0.00012415092388886036,0.0,0.0,-3.7951307141788475,-0.2604010398959352,0.5915317559153176,-0.00012415092388886036,0.0,0.0,0.0,0.0,2409,14,1.0
7ac75d9a0237,bollinger_bands,-1.7211940836151465,-0.09477049977520924,0.5785288270377733,-4.8822123636929336e-05,0.25,0.5,-1.5361445228428603,-0.07375541586322543,0.5755467196819085,-3.7586304900203334e-05,0.18504956077228618,0.021015083911983812,-0.0029821073558647937,1.1235818736726002e-05,2012,14,1.5
f1ad6d1f3a6b,bollinger_bands,-1.102031771825065,-0.03854205155667101,0.5084915084915085,-3.875621634712506e-05,0.2,0.4,-0.9386521647549221,-0.029650065434216666,0.5034965034965035,-2.9657865957859077e-05,0.16337960707014287,0.008891986122454343,-0.004995004995004937,9.098350389265986e-06,1001,14,2.0
0feab640ac62,bollinger_bands,-1.1718594675199716,-0.02684098494715892,0.4823848238482385,-7.31424628933491e-05,0.2,0.4,-0.7471350242393495,-0.014847131475642539,0.48509485094850946,-4.0100808865716674e-05,0.4247244432806221,0.01199385347151638,0.002710027100270962,3.3041654027632424e-05,369,14,2.5
b1b13ffa7fb6,bollinger_bands,-0.27037159613254613,-0.00403132117415772,0.5,-3.1362339556031623e-05,0.3,0.6,-0.2348504969734495,-0.0032643486888843665,0.5,-2.5342095284660373e-05,0.035521099159096625,0.0007669724852733539,0.0,6.020244271371251e-06,126,14,3.0
db8d4e8f6787,bollinger_bands,-3.7532477669222586,-0.2679789709423741,0.5946528676153514,-0.00013330606183549728,0.2,0.4,-3.6474375745747736,-0.19136549994242147,0.5843035791289349,-9.099990170243089e-05,0.10581019234748501,0.07661347099995264,-0.010349288486416475,4.230616013306639e-05,2319,15,1.0
e837394fa671,bollinger_bands,-2.009969866510625,-0.10834273655249838,0.5769230769230769,-5.813692923730848e-05,0.5,1.0,-1.8698234170445176,-0.09624586030242166,0.5769230769230769,-5.12940977971109e-05,0.14014644946610733,0.012096876250076716,0.0,6.842831440197581e-06,1950,15,1.5
de310b1d719c,bollinger_bands,-1.258811143189607,-0.0439827511288563,0.5164179104477612,-4.424488599909441e-05,0.2,0.4,-0.9817939608934447,-0.03130160205296739,0.5114427860696518,-3.122600818394574e-05,0.27701718229616223,0.012681149075888909,-0.00497512437810943,1.3018877815148671e-05,1005,15,2.0
7d8028d44776,bollinger_bands,-1.4749713372314024,-0.03572246393459688,0.4946808510638298,-9.608687025224039e-05,0.2,0.4,-1.0393271092106187,-0.021725691883861087,0.4946808510638298,-5.793683106932346e-05,0.43564422802078373,0.013996772050735795,0.0,3.8150039182916927e-05,376,15,2.5
cc8fd5805152,bollinger_bands,-0.8428888052064265,-0.01331197058462752,0.4892086330935252,-9.56739453535862e-05,0.3,0.6,-0.7556841407452916,-0.010851581710338065,0.4892086330935252,-7.788304400676541e-05,0.08720466446113495,0.002460388874289454,0.0,1.7790901346820793e-05,139,15,3.0
0c2036dd8361,bollinger_bands,-3.520072913167283,-0.25700386819627685,0.6093399191737764,-0.0001320942963177246,0.25,0.5,-3.152495872848178,-0.1776519263965487,0.6052986079928154,-8.712728393317753e-05,0.3675770403191052,0.07935194179972815,-0.00404131118096096,4.496701238454706e-05,2227,16,1.0
1729defe80ec,bollinger_bands,-1.8807687389236911,-0.101256252898283,0.5647614053487152,-5.5302642039382746e-05,0.5,1.0,-1.7281792889757561,-0.08862157188634878,0.5647614053487152,-4.8054336403087194e-05,0.152589449947935,0.012634681011934212,0.0,7.248305636295551e-06,1907,16,1.5
bb047773debb,bollinger_bands,-0.9625615787867957,-0.03645624866299513,0.5271238485158649,-3.7405541395998764e-05,0.2,0.4,-0.6693908379231045,-0.02229316855085639,0.5240532241555783,-2.2618102634973917e-05,0.2931707408636912,0.014163080112138737,-0.0030706243602866,1.4787438761024846e-05,977,16,2.0
67aab798c4c3,bollinger_bands,-1.703973833504836,-0.04183715819012279,0.49056603773584906,-0.00011450271144489973,0.2,0.4,-1.4334983216294395,-0.03023388704554475,0.49056603773584906,-8.224567427694458e-05,0.27047551187539653,0.011603271144578042,0.0,3.2257037167955155e-05,371,16,2.5
2bcc376485d5,bollinger_bands,-0.6497924493789548,-0.010349692541389843,0.5136986301369864,-7.055168806359484e-05,0.3,0.6,-0.6197960791097932,-0.009155629040129565,0.5136986301369864,-6.238792927447582e-05,0.029996370269161576,0.0011940635012602785,0.0,8.163758789119017e-06,146,16,3.0
3bc725799b6e,bollinger_bands,-3.3484421436485774,-0.24746924363944944,0.6080332409972299,-0.00012991310225190632,0.2,0.4,-2.7833680682379405,-0.14761624942826201,0.5974145891043398,-7.312442638089176e-05,0.5650740754106369,0.09985299421118743,-0.01061865189289013,5.678867587101456e-05,2166,17,1.0
