strategy,total_signals,long_signals,short_signals,neutral_signals,long_pct,short_pct,signal_frequency,avg_trade_duration_bars,freq_bin
SPY_5m_compiled_strategy_0,3262,0,0,0,0.0,0.0,0.196399542416762,0,15-20%
SPY_5m_compiled_strategy_1,3481,0,0,0,0.0,0.0,0.20962302782126943,0,20-25%
SPY_5m_compiled_strategy_2,3261,0,0,0,0.0,0.0,0.19636297946649003,0,15-20%
SPY_5m_compiled_strategy_3,2826,0,0,0,0.0,0.0,0.1701179869973513,0,15-20%
SPY_5m_compiled_strategy_4,2305,0,0,0,0.0,0.0,0.1389307455849557,0,10-15%
SPY_5m_compiled_strategy_5,1500,0,0,0,0.0,0.0,0.09034511835210504,0,5-10%
SPY_5m_compiled_strategy_6,2107,0,0,0,0.0,0.0,0.1268894911171334,0,10-15%
SPY_5m_compiled_strategy_7,2337,0,0,0,0.0,0.0,0.14073226544622425,0,10-15%
SPY_5m_compiled_strategy_8,2326,0,0,0,0.0,0.0,0.14000240760804142,0,10-15%
SPY_5m_compiled_strategy_9,2073,0,0,0,0.0,0.0,0.12478930893330123,0,10-15%
SPY_5m_compiled_strategy_350,3262,0,0,0,0.0,0.0,0.196399542416762,0,15-20%
SPY_5m_compiled_strategy_351,3481,0,0,0,0.0,0.0,0.20962302782126943,0,20-25%
SPY_5m_compiled_strategy_352,3261,0,0,0,0.0,0.0,0.19636297946649003,0,15-20%
SPY_5m_compiled_strategy_353,2826,0,0,0,0.0,0.0,0.1701179869973513,0,15-20%
SPY_5m_compiled_strategy_354,2305,0,0,0,0.0,0.0,0.1389307455849557,0,10-15%
SPY_5m_compiled_strategy_355,1500,0,0,0,0.0,0.0,0.09034511835210504,0,5-10%
SPY_5m_compiled_strategy_356,2107,0,0,0,0.0,0.0,0.1268894911171334,0,10-15%
SPY_5m_compiled_strategy_357,2337,0,0,0,0.0,0.0,0.14073226544622425,0,10-15%
SPY_5m_compiled_strategy_358,2326,0,0,0,0.0,0.0,0.14000240760804142,0,10-15%
SPY_5m_compiled_strategy_359,2073,0,0,0,0.0,0.0,0.12478930893330123,0,10-15%
SPY_5m_compiled_strategy_775,1819,0,0,0,0.0,0.0,0.10954531767539898,0,10-15%
SPY_5m_compiled_strategy_776,1938,0,0,0,0.0,0.0,0.11670480549199085,0,10-15%
SPY_5m_compiled_strategy_777,1816,0,0,0,0.0,0.0,0.10935147829228639,0,10-15%
SPY_5m_compiled_strategy_778,1625,0,0,0,0.0,0.0,0.09782085239585842,0,5-10%
SPY_5m_compiled_strategy_779,1312,0,0,0,0.0,0.0,0.07907901874510277,0,5-10%
SPY_5m_compiled_strategy_780,841,0,0,0,0.0,0.0,0.05065349635608023,0,5-10%
SPY_5m_compiled_strategy_781,1206,0,0,0,0.0,0.0,0.07262872628726287,0,5-10%
SPY_5m_compiled_strategy_782,1343,0,0,0,0.0,0.0,0.08087438275322173,0,5-10%
SPY_5m_compiled_strategy_783,1364,0,0,0,0.0,0.0,0.08209943421211027,0,5-10%
SPY_5m_compiled_strategy_784,1180,0,0,0,0.0,0.0,0.07103298820130026,0,5-10%
SPY_5m_compiled_strategy_800,1807,0,0,0,0.0,0.0,0.10882264378199337,0,10-15%
SPY_5m_compiled_strategy_801,1922,0,0,0,0.0,0.0,0.1157412983259063,0,10-15%
SPY_5m_compiled_strategy_802,1796,0,0,0,0.0,0.0,0.1081471668573493,0,10-15%
SPY_5m_compiled_strategy_803,1613,0,0,0,0.0,0.0,0.09709848302431977,0,5-10%
SPY_5m_compiled_strategy_804,1302,0,0,0,0.0,0.0,0.0784762823217407,0,5-10%
SPY_5m_compiled_strategy_805,833,0,0,0,0.0,0.0,0.050171655724869,0,5-10%
SPY_5m_compiled_strategy_806,1196,0,0,0,0.0,0.0,0.07202649804275821,0,5-10%
SPY_5m_compiled_strategy_807,1329,0,0,0,0.0,0.0,0.08003131398289774,0,5-10%
SPY_5m_compiled_strategy_808,1348,0,0,0,0.0,0.0,0.08113639099554593,0,5-10%
SPY_5m_compiled_strategy_809,1174,0,0,0,0.0,0.0,0.07067180351553094,0,5-10%
