strategy,strategy_id,total_changes,long_signals,short_signals,neutral_signals,signal_frequency,trade_count,avg_trade_duration_bars,win_rate,avg_return_per_trade,total_bars,long_bias,base_param_id,filter_id
SPY_5m_compiled_strategy_45,45,21,10,0,11,0.0013920190905475276,10,1.5,0.5,0.07132702843670195,15086,1.0,20,1
SPY_5m_compiled_strategy_1845,1845,35,4,13,18,0.0021511985248924403,17,1.3529411764705883,0.7058823529411765,0.07382051818793359,16270,0.23529411764705882,20,73
SPY_5m_compiled_strategy_1420,1420,37,5,13,19,0.0022741241548862937,18,1.3888888888888888,0.6666666666666666,0.06710092535609692,16270,0.2777777777777778,20,56
SPY_5m_compiled_strategy_2220,2220,45,10,12,23,0.0027658266748617085,22,1.4545454545454546,0.5909090909090909,0.037631207510666016,16270,0.45454545454545453,20,88
SPY_5m_compiled_strategy_770,770,47,10,13,24,0.0028887523048555623,23,1.434782608695652,0.6086956521739131,0.041007334448546866,16270,0.43478260869565216,20,30
SPY_5m_compiled_strategy_2365,2365,73,36,0,37,0.004422366268855637,36,1.7777777777777777,0.5277777777777778,0.018701232476545607,16507,1.0,15,94
SPY_5m_compiled_strategy_965,965,95,8,39,48,0.005783513941312554,47,1.872340425531915,0.6170212765957447,0.001210491163068666,16426,0.1702127659574468,15,38
SPY_5m_compiled_strategy_790,790,97,8,40,49,0.005905272129550713,48,1.875,0.5833333333333334,-0.0029033417306788115,16426,0.16666666666666666,15,31
SPY_5m_compiled_strategy_1021,1021,127,63,0,64,0.007692307692307693,63,2.2222222222222223,0.6190476190476191,0.02007760538421805,16510,1.0,21,40
SPY_5m_compiled_strategy_2371,2371,147,73,0,74,0.008903694730466384,73,2.095890410958904,0.6301369863013698,0.025313631335453633,16510,1.0,21,94
SPY_5m_compiled_strategy_565,565,159,35,44,80,0.009632277215726662,79,1.8227848101265822,0.5569620253164557,0.000534408754280679,16507,0.4430379746835443,15,22
SPY_5m_compiled_strategy_1521,1521,165,14,68,83,0.01004321626392355,82,2.597560975609756,0.5487804878048781,0.0009879231655011947,16429,0.17073170731707318,21,60
SPY_5m_compiled_strategy_871,871,171,14,71,86,0.010408424128066224,85,2.5647058823529414,0.5647058823529412,0.004988480202900504,16429,0.16470588235294117,21,34
SPY_5m_compiled_strategy_1222,1222,185,92,0,93,0.011201259384838944,92,3.3152173913043477,0.6413043478260869,0.007609408935679416,16516,1.0,22,48
SPY_5m_compiled_strategy_2266,2266,209,54,50,105,0.012658227848101266,104,3.3461538461538463,0.6057692307692307,0.00529975068272819,16511,0.5192307692307693,16,90
SPY_5m_compiled_strategy_2335,2335,231,115,0,116,0.01399152029073289,115,2.1043478260869564,0.5739130434782609,0.010316319166797275,16510,1.0,10,93
SPY_5m_compiled_strategy_2422,2422,251,125,0,126,0.01519738435456527,125,2.952,0.608,0.010179348387403897,16516,1.0,22,96
