strategy_num,type,params,long_entries,short_entries,total_entries,total_bars,entry_rate,reduction_pct
30,RSI filter,"p=15, m=2.0, rsi<50",2169,2471,4640,9298,49.903204990320496,-14.135033551764176
20,Baseline,"period=50, mult=1.0",24,20,44,89,49.43820224719101,98.9176850266643
42,RSI filter,"p=20, m=2.0, rsi<50",1432,1635,3067,6145,49.910496338486574,24.55772674498692
16,Baseline,"period=30, mult=1.5",615,624,1239,2481,49.93954050785974,69.52299427356988
7,Baseline,"period=15, mult=2.0",2933,3214,6147,12325,49.87423935091278,-51.20432138851172
29,RSI filter,"p=15, m=2.0, rsi<40",1726,1961,3687,7386,49.91876523151909,9.306924847983943
39,RSI filter,"p=20, m=1.5, rsi<60",2169,2471,4640,9298,49.903204990320496,-14.135033551764176
17,Baseline,"period=30, mult=2.0",976,1100,2076,4157,49.93986047630503,48.934411712615855
38,RSI filter,"p=20, m=1.5, rsi<50",1726,1961,3687,7386,49.91876523151909,9.306924847983943
6,Baseline,"period=15, mult=1.5",2538,2885,5423,10864,49.91715758468336,-33.395320463624365
28,RSI filter,"p=15, m=1.5, rsi<70",1305,1438,2743,5494,49.92719330178376,32.52750063954976
21,Baseline,"period=50, mult=1.5",244,247,491,984,49.89837398373984,87.92234882027668
31,RSI filter,"p=15, m=2.0, rsi<60",615,624,1239,2481,49.93954050785974,69.52299427356988
43,RSI filter,"p=20, m=2.0, rsi<60",1726,1961,3687,7386,49.91876523151909,9.306924847983943
15,Baseline,"period=30, mult=1.0",134,138,272,545,49.908256880733944,93.30932561937935
4,Baseline,"period=10, mult=3.0",3002,3290,6292,12671,49.656696393339125,-54.77104118700436
41,RSI filter,"p=20, m=2.0, rsi<40",976,1100,2076,4157,49.93986047630503,48.934411712615855
33,RSI filter,"p=15, m=2.5, rsi<40",1432,1635,3067,6145,49.910496338486574,24.55772674498692
23,Baseline,"period=50, mult=2.5",926,1037,1963,3932,49.923702950152595,51.71399334868253
40,RSI filter,"p=20, m=1.5, rsi<70",615,624,1239,2481,49.93954050785974,69.52299427356988
22,Baseline,"period=50, mult=2.0",540,551,1091,2185,49.93135011441648,73.16350827478993
32,RSI filter,"p=15, m=2.0, rsi<70",976,1100,2076,4157,49.93986047630503,48.934411712615855
14,Baseline,"period=20, mult=3.0",2353,2558,4911,9848,49.86799350121852,-20.801109864809007
5,Baseline,"period=15, mult=1.0",1694,1919,3613,7238,49.91710417242332,11.127181848593981
0,Baseline,"period=10, mult=1.0",4006,4413,8419,16876,49.88741407916568,-107.09113092075486
11,Baseline,"period=20, mult=1.5",1305,1438,2743,5494,49.92719330178376,32.52750063954976
37,RSI filter,"p=20, m=1.5, rsi<40",1305,1438,2743,5494,49.92719330178376,32.52750063954976
9,Baseline,"period=15, mult=3.0",2746,3038,5784,11613,49.80625161456988,-42.275222858492235
27,RSI filter,"p=15, m=1.5, rsi<60",3115,3284,6399,12834,49.859747545582046,-57.40303441761614
18,Baseline,"period=30, mult=2.5",1432,1635,3067,6145,49.910496338486574,24.55772674498692
44,RSI filter,"p=20, m=2.0, rsi<70",1726,1961,3687,7386,49.91876523151909,9.306924847983943
8,Baseline,"period=15, mult=2.5",3115,3284,6399,12834,49.859747545582046,-57.40303441761614
26,RSI filter,"p=15, m=1.5, rsi<50",2933,3214,6147,12325,49.87423935091278,-51.20432138851172
36,RSI filter,"p=15, m=2.5, rsi<70",3115,3284,6399,12834,49.859747545582046,-57.40303441761614
19,Baseline,"period=30, mult=3.0",1792,2082,3874,7765,49.89053444945267,4.707086211307243
1,Baseline,"period=10, mult=1.5",4321,4644,8965,17993,49.824931917968094,-120.52167581714781
10,Baseline,"period=20, mult=1.0",566,571,1137,2277,49.93412384716733,72.03199716630262
34,RSI filter,"p=15, m=2.5, rsi<50",2538,2885,5423,10864,49.91715758468336,-33.395320463624365
24,Baseline,"period=50, mult=3.0",1288,1565,2853,5717,49.903795697043904,29.82171320621052
3,Baseline,"period=10, mult=2.5",3721,4049,7770,15626,49.72481761167285,-91.12698506405337
12,Baseline,"period=20, mult=2.0",1726,1961,3687,7386,49.91876523151909,9.306924847983943
2,Baseline,"period=10, mult=2.0",4277,4457,8734,17546,49.77772711729169,-114.8395222071354
13,Baseline,"period=20, mult=2.5",2169,2471,4640,9298,49.903204990320496,-14.135033551764176
25,RSI filter,"p=15, m=1.5, rsi<40",2538,2885,5423,10864,49.91715758468336,-33.395320463624365
35,RSI filter,"p=15, m=2.5, rsi<60",2933,3214,6147,12325,49.87423935091278,-51.20432138851172
