2025-06-12 20:00:34,049 - __main__ - INFO - Configuration loaded successfully from config/expansive_grid_search.yaml
2025-06-12 20:00:34,049 - __main__ - INFO - Limiting data to 50 bars
2025-06-12 20:00:34,049 - src.core.components.discovery - WARNING - Could not import module src.core.coordinator.workflows: No module named 'src.core.coordinator.workflows'
2025-06-12 20:00:34,049 - src.core.components.discovery - WARNING - Could not import module src.core.coordinator.sequences: No module named 'src.core.coordinator.sequences'
2025-06-12 20:00:34,051 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_generation
2025-06-12 20:00:34,055 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: modern_backtest
2025-06-12 20:00:34,057 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: root_backtest_with_strategy
2025-06-12 20:00:34,059 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: root_backtest
2025-06-12 20:00:34,062 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_replay
2025-06-12 20:00:34,065 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_generation_strategy_trace
2025-06-12 20:00:34,069 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: backtest
2025-06-12 20:00:34,069 - src.core.coordinator.config.pattern_loader - INFO - Loaded 7 topologies patterns
2025-06-12 20:00:34,070 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: composed_walk_forward
2025-06-12 20:00:34,072 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: train_test
2025-06-12 20:00:34,074 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: walk_forward_composed
2025-06-12 20:00:34,076 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: parameter_sweep
2025-06-12 20:00:34,077 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: walk_forward
2025-06-12 20:00:34,078 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: single_pass
2025-06-12 20:00:34,079 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: k_fold
2025-06-12 20:00:34,081 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: nested_monte_carlo
2025-06-12 20:00:34,082 - src.core.coordinator.config.pattern_loader - INFO - Loaded sequences pattern: monte_carlo
2025-06-12 20:00:34,082 - src.core.coordinator.config.pattern_loader - INFO - Loaded 9 sequences patterns
2025-06-12 20:00:34,087 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: adaptive_ensemble
2025-06-12 20:00:34,088 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: simple_backtest
2025-06-12 20:00:34,091 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: signal_generate_and_replay
2025-06-12 20:00:34,093 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: modular_workflow
2025-06-12 20:00:34,097 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: research_pipeline
2025-06-12 20:00:34,102 - src.core.coordinator.config.pattern_loader - INFO - Loaded workflows pattern: composable_research
2025-06-12 20:00:34,102 - src.core.coordinator.config.pattern_loader - INFO - Loaded 6 workflows patterns
2025-06-12 20:00:34,102 - src.core.coordinator.coordinator - INFO - Coordinator 709717c0-417c-4cfd-ae92-75bcc5cf8042 initialized with 0 discovered workflows, 0 discovered sequences, and 6 workflow patterns
2025-06-12 20:00:34,102 - __main__ - INFO - 🚀 Starting workflow execution...
2025-06-12 20:00:34,102 - __main__ - INFO - 🎯 Executing signal_generation topology
2025-06-12 20:00:34,104 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_generation
2025-06-12 20:00:34,107 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: modern_backtest
2025-06-12 20:00:34,109 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: root_backtest_with_strategy
2025-06-12 20:00:34,111 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: root_backtest
2025-06-12 20:00:34,113 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_replay
2025-06-12 20:00:34,115 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: signal_generation_strategy_trace
2025-06-12 20:00:34,119 - src.core.coordinator.config.pattern_loader - INFO - Loaded topologies pattern: backtest
2025-06-12 20:00:34,119 - src.core.coordinator.config.pattern_loader - INFO - Loaded 7 topologies patterns
2025-06-12 20:00:34,119 - src.core.coordinator.coordinator - INFO - Executing topology 'signal_generation' directly
2025-06-12 20:00:34,119 - src.core.coordinator.topology_runner - INFO - Executing topology 'signal_generation' (ID: c9f37505-042c-43e9-83e0-cf37a86a2d6c)
2025-06-12 20:00:34,119 - src.core.coordinator.topology - INFO - Building signal_generation topology
2025-06-12 20:00:34,119 - src.core.coordinator.topology - WARNING - Skipping invalid parameter combination for ma_crossover: {'fast_period': 20, 'slow_period': 20, 'stop_loss_pct': 1.0}
2025-06-12 20:00:34,119 - src.core.coordinator.topology - WARNING - Skipping invalid parameter combination for ma_crossover: {'fast_period': 20, 'slow_period': 20, 'stop_loss_pct': 2.0}
2025-06-12 20:00:34,119 - src.core.coordinator.topology - INFO - Expanded 6 strategies to 236 configurations
2025-06-12 20:00:34,119 - src.core.coordinator.topology - INFO - Inferring features from 236 strategies and 4 classifiers
2025-06-12 20:00:34,142 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,142 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,142 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,143 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,144 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'ma_crossover' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,145 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,146 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,147 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,148 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
