filters,num_filters,trades,avg_return_bps,net_1bp,net_2bp,net_4bp,win_rate,trades_per_day,annual_return_2bp
Longs,1,14794,0.24145136601279435,-0.7585486339872056,-1.7585486339872056,-3.7585486339872056,67.73692037312425,70.54840247973296,-312.63824796299923
HighVol(>90%),1,4322,0.756740181692539,-0.24325981830746102,-1.243259818307461,-3.243259818307461,65.08560851457659,20.610395803528853,-64.57267389368914
HighVol(>80%),1,7469,0.43143280509657617,-0.5685671949034239,-1.568567194903424,-3.568567194903424,65.75177399919669,35.61754887935145,-140.78866721225015
ModerateVol(20-60%),1,10979,0.016263226093235654,-0.9837367739067644,-1.9837367739067644,-3.9837367739067644,68.43064031332544,52.355746304244164,-261.7272485580371
HighVolume(>1.5x),1,9618,0.2141865442583685,-0.7858134557416315,-1.7858134557416314,-3.7858134557416316,66.57309211894365,45.86552217453505,-206.4063119678302
HighVolume(>2x),1,5258,0.1998595004924636,-0.8001404995075364,-1.8001404995075365,-3.8001404995075365,65.61430201597565,25.07391511683357,-113.74415660922641
BelowVWAP,1,3914,0.5839909118995292,-0.41600908810047077,-1.4160090881004708,-3.4160090881004708,68.11446090955545,18.66475917978064,-66.60226093695572
NearVWAP(-0.2to0%),1,503,0.8313751603730232,-0.16862483962697683,-1.1686248396269767,-3.1686248396269767,70.77534791252485,2.398664759179781,-7.063910833178687
FarBelowVWAP(<-0.2%),1,3411,0.5475106196151062,-0.45248938038489384,-1.4524893803848937,-3.4524893803848937,67.72207563764292,16.266094420600858,-59.53835010377701
StrongDowntrend,1,5633,0.24263895632272175,-0.7573610436772782,-1.7573610436772782,-3.757361043677278,67.74365347061956,26.862184072484503,-118.96052070942278
Downtrend,1,13850,0.07972822592321771,-0.9202717740767823,-1.9202717740767823,-3.9202717740767823,67.16967509025271,66.04673342870768,-319.60574849226447
RSI(30-50),1,7347,0.3123735919004606,-0.6876264080995393,-1.6876264080995393,-3.6876264080995393,69.62025316455697,35.03576537911302,-149.00075286206217
LowRSI(<50),1,14783,0.2302795292862741,-0.769720470713726,-1.769720470713726,-3.7697204707137257,67.72644253534466,70.4959465903672,-314.39046185395205
Longs + HighVol(>90%),2,2443,0.8660627081594059,-0.1339372918405941,-1.133937291840594,-3.133937291840594,64.92018010642653,11.649976156413926,-33.29006288028498
Longs + HighVol(>80%),2,4145,0.6071954735796558,-0.39280452642034425,-1.3928045264203441,-3.392804526420344,65.57297949336551,19.766332856461613,-69.37720744049147
Longs + ModerateVol(20-60%),2,5176,0.09062858763817898,-0.9093714123618211,-1.909371412361821,-3.909371412361821,68.50850077279753,24.6828803051979,-118.76454079432361
Longs + HighVolume(>1.5x),2,5123,0.8441117877365752,-0.15588821226342475,-1.1558882122634246,-3.1558882122634246,67.14815537770838,24.43013829279924,-71.16104236906212
Longs + HighVolume(>2x),2,2821,1.1266791338007927,0.12667913380079265,-0.8733208661992073,-2.873320866199207,66.53668911733428,13.452551263710063,-29.60595217997553
Longs + BelowVWAP,2,2129,1.0265390748513976,0.026539074851397615,-0.9734609251486024,-2.9734609251486024,67.8252700798497,10.152598950882213,-24.90555908581909
Longs + NearVWAP(-0.2to0%),2,289,-1.2272142376367194,-2.227214237636719,-3.227214237636719,-5.227214237636719,67.82006920415225,1.3781592751549834,-11.207990390968385
Longs + FarBelowVWAP(<-0.2%),2,1840,1.380525328823716,0.38052532882371604,-0.619474671176284,-2.6194746711762837,67.82608695652173,8.77443967572723,-13.697568694850709
Longs + StrongDowntrend,2,1541,0.3783027566997553,-0.6216972433002447,-1.6216972433002446,-3.6216972433002446,62.88124594419209,7.348593228421555,-30.031327319278528
Longs + Downtrend,2,7478,0.15479638406505683,-0.8452036159349432,-1.8452036159349432,-3.845203615934943,66.12730676651512,35.66046733428708,-165.81807464331425
Longs + RSI(30-50),2,7149,0.33117584469713496,-0.6688241553028651,-1.668824155302865,-3.668824155302865,69.71604420198629,34.09155937052933,-143.36990077909232
Longs + LowRSI(<50),2,14583,0.23765023279864225,-0.7623497672013577,-1.7623497672013577,-3.762349767201358,67.7432627031475,69.54220314735336,-308.8453675290675
HighVol(>90%) + HighVol(>80%),2,4322,0.756740181692539,-0.24325981830746102,-1.243259818307461,-3.243259818307461,65.08560851457659,20.610395803528853,-64.57267389368914
HighVol(>90%) + HighVolume(>1.5x),2,1416,2.8691105314529315,1.8691105314529315,0.8691105314529315,-1.1308894685470685,66.73728813559322,6.752503576537912,14.789053369547567
HighVol(>90%) + HighVolume(>2x),2,871,4.334575057054336,3.3345750570543364,2.3345750570543364,0.33457505705433643,68.08266360505166,4.153552694325227,24.435886906197922
