strategy,strategy_name,edge_bps,trades_per_day,total_trades,win_rate,avg_win_bps,avg_loss_bps,total_return_bps,annual_trades,expected_annual_return,period,multiplier,freq_bin
41,SPY_compiled_strategy_41,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,45.0,0.7,500-1k
42,SPY_compiled_strategy_42,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,45.0,0.8,500-1k
0,SPY_compiled_strategy_0,-0.8579337313805377,4.800513698630137,445,63.370786516853926,7.749193920484816,-15.74879261374882,-381.7805104643393,1209.7294520547946,-0.10378677027623032,50.0,0.5,1k-5k
1,SPY_compiled_strategy_1,-0.3410910688064601,4.520034246575342,419,68.01909307875896,8.970666960639807,-20.145949564270538,-142.91715782990678,1139.0486301369863,-0.03885193146759589,50.0,0.55,1k-5k
2,SPY_compiled_strategy_2,-1.5298609246499886,3.9375,365,67.94520547945206,9.199791333459158,-24.273055454659122,-558.3992374972458,992.25,-0.1518004502483951,50.0,0.6,500-1k
3,SPY_compiled_strategy_3,-1.4046188526258596,3.6246575342465754,336,74.10714285714286,9.120115689305072,-31.527134955393702,-471.95193448228883,913.413698630137,-0.12829981013426056,50.0,0.65,500-1k
4,SPY_compiled_strategy_4,-0.0412548303058664,3.2902397260273974,305,76.39344262295083,11.148156318593921,-36.251432576051016,-12.582723243289252,829.1404109589041,-0.003420604695384592,50.0,0.7,500-1k
5,SPY_compiled_strategy_5,0.6497166174480412,1.2945205479452055,120,62.5,9.201995540046859,-13.604081586883318,77.96599409376495,326.2191780821918,0.021195002093024183,50.0,0.75,200-500
6,SPY_compiled_strategy_6,-0.08649109029369528,2.9881849315068494,277,66.06498194945848,8.930197914174038,-17.640257981970237,-23.958032011353595,753.022602739726,-0.006512974592675508,50.0,0.8,500-1k
7,SPY_compiled_strategy_7,-0.055813517022424715,3.106849315068493,288,66.66666666666666,9.564855745117223,-19.297152041301718,-16.074292902458318,782.9260273972602,-0.004369785515743635,50.0,0.85,500-1k
8,SPY_compiled_strategy_8,-0.15661235883396024,2.966609589041096,275,68.36363636363636,10.313290192818323,-22.781229367002116,-43.06839867933907,747.5856164383562,-0.01170811468207512,50.0,0.9,500-1k
9,SPY_compiled_strategy_9,-0.3632764730592963,2.912671232876712,270,69.62962962962963,10.63112539560945,-25.569953928055938,-98.08464772600999,733.9931506849315,-0.02666424430305025,50.0,0.95,500-1k
10,SPY_compiled_strategy_10,3.8475627561510777,0.2191780821917808,20,70.0,12.320234223693125,-15.922004001447036,76.95125512302155,55.23287671232876,0.021251195935344032,50.0,1.0,50-100
11,SPY_compiled_strategy_11,1.5375016595259625,1.4671232876712328,136,72.05882352941177,8.10213607750716,-15.392344997372916,209.1002256955309,369.7150684931507,0.056843753135997405,50.0,1.05,200-500
12,SPY_compiled_strategy_12,1.2068515542718155,2.135958904109589,198,67.17171717171718,9.62501526740899,-16.018006504916556,238.95660774581944,538.2616438356164,0.06496019014679161,50.0,1.1,500-1k
13,SPY_compiled_strategy_13,1.1948359094068937,2.2222602739726027,206,69.41747572815534,10.276517563951348,-19.41913990963845,246.13619733782008,560.0095890410959,0.06691195665984985,50.0,1.15,500-1k
14,SPY_compiled_strategy_14,1.094160623431561,2.33013698630137,216,72.68518518518519,9.848100825190212,-22.200222625316034,236.3386946612172,587.1945205479452,0.06424851226783364,50.0,1.2,500-1k
15,SPY_compiled_strategy_15,-11.32621696019132,0.043835616438356165,4,25.0,4.7104830082186115,-16.671783616327964,-45.30486784076528,11.046575342465754,-0.012511590899586688,50.0,1.25,<50
16,SPY_compiled_strategy_16,0.8822550323907167,0.5041095890410959,46,63.04347826086957,11.040300457649884,-16.446175398933736,40.58373148997297,127.03561643835617,0.011207781189559658,50.0,1.3,100-200
17,SPY_compiled_strategy_17,1.6199360232772102,1.2273972602739727,112,73.21428571428571,8.618631387986008,-17.509831306926834,181.43283460704754,309.3041095890411,0.05010528692709697,50.0,1.35,200-500
18,SPY_compiled_strategy_18,2.0355673954636284,1.5671232876712329,143,67.13286713286713,9.965708335660748,-14.162167290896445,291.08613755129886,394.91506849315067,0.08038762374019431,50.0,1.4,200-500
19,SPY_compiled_strategy_19,2.0357236833863483,1.8630136986301369,170,72.94117647058823,9.654427633117672,-18.501652181106785,346.0730261756792,469.4794520547945,0.09557304394111908,50.0,1.45,200-500
21,SPY_compiled_strategy_21,-1.230337875420898,0.14246575342465753,13,61.53846153846154,10.90317186221997,-20.64395345564629,-15.994392380471675,35.9013698630137,-0.004417081512196013,50.0,1.55,<50
22,SPY_compiled_strategy_22,1.9577658015314547,0.4821917808219178,44,70.45454545454545,11.67857452531639,-21.222624232109546,86.14169526738401,121.5123287671233,0.023789268172472077,50.0,1.6,100-200
23,SPY_compiled_strategy_23,0.6654025837371121,0.821917808219178,75,70.66666666666667,9.073502910030285,-19.59047547506008,49.90519378028341,207.12328767123287,0.01378203707685635,50.0,1.65,200-500
24,SPY_compiled_strategy_24,-0.20956598352506128,1.0191780821917809,93,61.29032258064516,9.477230853498128,-15.546994308811772,-19.4896364678307,256.83287671232875,-0.0053823434409789985,50.0,1.7,200-500
25,SPY_compiled_strategy_25,-0.03804689573791683,3.1780821917808217,290,73.44827586206897,12.881179625660282,-35.775647532852425,-11.03359976399588,800.8767123287671,-0.0030470872772898213,50.0,1.75,500-1k
26,SPY_compiled_strategy_26,0.0973800452012167,3.210958904109589,293,73.37883959044369,12.942841538588954,-35.30998176349575,28.532353243956493,809.1616438356165,0.007879619745180314,50.0,1.8,500-1k
27,SPY_compiled_strategy_27,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,1.85,500-1k
28,SPY_compiled_strategy_28,0.017668449377442434,3.2,292,73.28767123287672,12.989253769301424,-35.57103999246528,5.159187218213191,806.4000000000001,0.001424783757796958,50.0,1.9,500-1k
29,SPY_compiled_strategy_29,0.17918468498291223,3.2,292,73.63013698630137,12.981223595728553,-35.56676811774843,52.32192801501037,806.4000000000001,0.014449452997022045,50.0,1.95,500-1k
30,SPY_compiled_strategy_30,0.3281163684543333,3.221917808219178,294,73.80952380952381,13.036448486117981,-35.486274144961406,96.46621232557399,811.9232876712329,0.026640532061418788,50.0,2.0,500-1k
31,SPY_compiled_strategy_31,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.1,500-1k
32,SPY_compiled_strategy_32,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.2,500-1k
33,SPY_compiled_strategy_33,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.3,500-1k
34,SPY_compiled_strategy_34,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.4,500-1k
35,SPY_compiled_strategy_35,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.5,500-1k
36,SPY_compiled_strategy_36,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.6,500-1k
37,SPY_compiled_strategy_37,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.7,500-1k
38,SPY_compiled_strategy_38,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.8,500-1k
39,SPY_compiled_strategy_39,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,2.9,500-1k
40,SPY_compiled_strategy_40,0.06299291137111994,3.210958904109589,293,73.37883959044369,12.89597907248561,-35.30998176349575,18.456923031738143,809.1616438356165,0.0050971447715046705,50.0,3.0,500-1k
