entry_idx,exit_idx,entry_price,exit_price,direction,volatility,volatility_regime,volume_ratio,volume_regime,trend_strength,trend_regime,trend_direction,vwap_distance,time_of_day,atr,return_bps,vwap_position,time_period
40,43,520.865,520.935,long,0.17222214114781043,Low,1.1631172311088962,High,-0.053601272921825725,Neutral,-1,-0.05475897251546333,16.833333333333332,0.20035000000001446,1.3437608006387791,Near,
45,47,520.825,520.86,long,0.18655908681272215,Low,0.661055444468959,Medium,-0.04478193363144033,Neutral,-1,-0.05809950122166805,17.25,0.197314285714307,0.6719545738521565,Near,
49,54,520.804,520.85,long,0.16502252525226108,Low,0.8557096312809284,Medium,-0.03286048964385176,Neutral,-1,-0.059759712561674214,17.583333333333332,0.192364285714299,0.8831665798817022,Near,
62,64,520.696,520.83,long,0.1847538095296265,Low,2.504751181041059,High,-0.027048775808641783,Neutral,-1,-0.06644470030824806,18.666666666666668,0.19109285714287289,2.5730188346576477,Near,
68,79,520.7,521.45,long,0.17606172775688736,Low,0.7681249998487732,Medium,-0.01941816063264147,Neutral,-1,-0.06064566556630487,19.166666666666668,0.1650142857143026,14.392604317485686,Near,
79,83,521.45,521.03,short,0.9942292711515138,High,1.0077265441215018,Medium,0.233671609080186,Neutral,-1,0.3094494915931709,13.5,0.5780000000000071,8.057306091690151,Above,Midday
85,86,520.08,520.185,long,1.0710275629883728,High,0.9398685822324223,Medium,-0.04618597296167642,Neutral,-1,-0.07701785742428958,14.0,0.7126428571428717,2.018615455801987,Near,Midday
87,88,520.15,520.3701,long,1.0716459602325932,High,0.7081213229209343,Medium,-0.0205792496061604,Neutral,-1,-0.05066171564459466,14.166666666666666,0.7089071428571531,4.230365146864565,Near,Midday
89,91,519.85,520.194,long,1.092001985546691,High,0.4060337424591815,Low,-0.06748832650911447,Neutral,-1,-0.10355412843078206,14.333333333333334,0.6898357142857127,6.614774231547179,Below,Midday
93,98,519.935,520.016,long,1.081272658572373,High,0.4976879561799361,Low,-0.05248189034534324,Neutral,-1,-0.07563836361695768,14.666666666666666,0.479142857142855,1.5576878172874387,Near,Close
101,105,519.88,519.99,long,0.507516299584223,Medium,0.3376341897045452,Low,-0.0591603710310312,Neutral,-1,-0.06919289216030003,15.333333333333334,0.33627857142856293,2.115543296955458,Near,Close
107,113,519.77,520.02,long,0.3429440469230757,Low,0.35119687314018955,Low,-0.030846437555741967,Neutral,-1,-0.08102664269199064,15.833333333333334,0.28770714285713794,4.808422947269133,Near,Close
136,140,520.61,520.46,short,0.2345137260896973,Low,1.6529645952759435,High,0.0664931573401479,Neutral,1,0.08601985952160068,18.25,0.23513571428571822,2.8815065468779033,Near,
148,149,519.97,520.5005,long,0.24307193079154357,Low,1.7606636935780966,High,-0.07316603693754793,Neutral,1,-0.04516341009525114,19.25,0.2839928571428589,10.196800792867826,Near,
150,202,520.9,523.18,short,0.351555261953892,Low,2.885726341925312,High,0.09747830258888293,Neutral,1,0.12915870051434902,19.416666666666668,0.3261499999999923,-43.672699870871384,Above,
207,210,523.3,523.2199,short,0.23025909808217895,Low,0.7745036179013859,Medium,0.008177622626541186,Neutral,-1,0.009643611562893537,17.583333333333332,0.25499999999999545,1.5307113635638614,Near,
211,212,523.38,523.27,short,0.24023098332334272,Low,1.1370155608561392,High,0.024279843770772927,Neutral,-1,0.024425459929105775,17.916666666666668,0.2489357142857216,2.1018392090001647,Near,
213,220,523.525,523.14,short,0.24303625674548407,Low,1.143064640389902,High,0.050891652151303195,Neutral,-1,0.05173728350212458,18.083333333333332,0.2682142857142935,7.35633210937543,Near,
222,235,523.58,523.12,short,0.26187830683661856,Low,1.5737741225315518,High,0.04670903737852124,Neutral,-1,0.05935465716539022,18.833333333333332,0.25605714285712466,8.78909008528302,Near,
235,237,523.12,524.0113,long,0.47384509210498,Medium,5.06110859378938,High,-0.13112848502975136,Neutral,1,-0.08182763946465157,19.916666666666668,0.48322142857144207,17.02280602713017,Near,
237,243,524.0113,523.22,short,0.6111821892475664,Medium,0.7996116668564356,Medium,0.038157816049930564,Neutral,1,0.1150667185525105,13.5,0.5185785714285852,15.111477007796504,Above,Midday
246,247,522.9601,523.205,long,0.7520190140332627,High,0.40824470620289033,Low,-0.17538976037842763,Neutral,1,-0.10661810750099009,14.25,0.5953785714285768,4.681627392717682,Below,Midday
248,275,522.99,522.17,long,0.7587504497146409,High,0.21879646246063583,Low,-0.14779459061621789,Neutral,1,-0.0966831619457674,14.416666666666666,0.5806714285714308,-15.690596047333788,Near,Midday
277,291,522.0616,521.806,long,0.40792206069033154,Low,0.30533607142801383,Low,0.046544899730698384,Neutral,-1,-0.15887613120352453,16.833333333333332,0.30977142857142326,-4.896928022441526,Below,
292,294,521.722,521.84,long,0.33254741585087616,Low,1.161427376153169,High,-0.006119743075052347,Neutral,-1,-0.20542089906095273,18.083333333333332,0.28994999999999244,2.26137211785982,Below,
310,311,521.6912,522.125,long,0.2819036430310434,Low,1.1973652695417654,High,-0.04618798527250213,Neutral,1,-0.18948219834892638,19.583333333333332,0.29779285714286224,8.311393039760198,Below,
313,314,522.475,522.22,short,0.39618295854950364,Low,2.1973076832316516,High,0.09073347834316169,Neutral,1,0.06653849974190428,19.833333333333332,0.36710000000000165,4.88156361548664,Near,
316,355,517.95,517.9,long,1.6423753134123444,High,2.8361844537942416,High,-0.7438814433332188,Neutral,1,-0.6359394735922892,13.5,0.6867857142857068,-0.965342473117225,Below,Midday
356,357,517.8176,517.97,long,0.29466536990717096,Low,1.119330234997835,High,0.07977408870223225,Neutral,-1,-0.11278325617219458,16.833333333333332,0.30038571428571004,2.9425411368069656,Below,
360,367,517.6591,517.865,long,0.3084518294762935,Low,0.815571109580073,Medium,0.04011390206922738,Neutral,-1,-0.1396850460412764,17.166666666666668,0.2781285714285673,3.9765314532697595,Below,
383,384,518.35,517.98,short,0.2759624027687475,Low,2.332907311567289,High,0.09337639347103055,Neutral,1,0.013518885628089264,19.083333333333332,0.28220000000000517,7.140225907201104,Near,
386,395,518.35,518.21,short,0.35342268468179866,Low,1.0568205590797226,High,0.0784960234123084,Neutral,1,0.014568734623263902,19.333333333333332,0.32039285714285726,2.7011075258784105,Near,
401,425,519.97,519.9219,short,0.7343818121288256,High,1.4178255407327358,High,0.27284465307113454,Neutral,1,0.23132068539319858,14.0,0.5017857142857289,0.9250499024811686,Above,Midday
426,432,520.08,519.5,short,0.22154665861074835,Low,1.2266729099021152,High,-0.09610524931403729,Neutral,1,0.13892659316671252,16.083333333333332,0.22327142857141422,11.157795651633968,Above,
433,444,520.3052,520.41,short,0.6145883445487343,Medium,1.280866721912339,High,-0.03562120011752107,Neutral,1,0.1638353544897022,16.666666666666668,0.43489999999997864,-2.0138989101755147,Above,
445,452,520.525,520.45,short,0.6048016338392258,Medium,0.5172432048098373,Low,0.02415645109739224,Neutral,1,0.1902361874968555,17.666666666666668,0.390978571428572,1.440884749964703,Above,
461,470,519.8801,519.75,long,0.19932722351455917,Low,0.9899157281334257,Medium,-0.09668931410946198,Neutral,-1,0.046389029444335914,19.0,0.2586785714285611,-2.5026881326169734,Near,
472,473,519.36,519.73,long,0.558425970139464,Medium,7.261526759842158,High,-0.04244866322989903,Neutral,-1,-0.0028747095715960435,19.916666666666668,0.5491499999999893,7.121260249585549,Near,
