strategy,stop_loss_pct,stop_loss_bps,num_trades,avg_return_per_trade_bps,total_return,win_rate,stopped_trades,stop_rate,stopped_winners,stopped_losers,avg_win_bps,avg_loss_bps,profit_factor
strategy_4,0.0001,1.0,1168,6.799984385419886,1.2127546254272183,0.7696917808219178,228,0.1952054794520548,0,228,9.104620237821877,-0.9369568788858768,33.72889856550335
strategy_4,0.0002,2.0,1168,6.612224687724146,1.1647564123895262,0.7696917808219178,207,0.17722602739726026,0,207,9.104620237821877,-1.7836878708110642,17.717518880600068
strategy_4,0.0003,2.9999999999999996,1168,6.443453932761029,1.1225016558544336,0.7696917808219178,192,0.1643835616438356,0,192,9.104620237821877,-2.5447853294864333,12.418542012960371
strategy_4,0.0004,4.0,1168,6.28234772977578,1.0829355374778311,0.7696917808219178,183,0.1566780821917808,0,183,9.104620237821877,-3.2713183220994533,9.66048559527238
strategy_4,0.0005,5.0,1168,6.129364628008414,1.0460473061577895,0.7696917808219178,172,0.14726027397260275,0,172,9.104620237821877,-3.961218950919081,7.977979485547048
strategy_4,0.001,10.0,1168,5.4619293604411325,0.8926034146462491,0.7696917808219178,140,0.11986301369863013,0,140,9.104620237821877,-6.97112008033446,4.533349470961398
strategy_4,0.0015,15.0,1169,4.912124094731048,0.7757578804022602,0.7698887938408896,115,0.09837467921300257,0,115,9.095869129874318,-9.436328765043596,3.349530101553372
strategy_4,0.002,20.0,1169,4.45232399550926,0.6828296214798062,0.7698887938408896,104,0.08896492728828058,0,104,9.095869129874318,-11.51164272639599,2.7456782665946213
strategy_4,0.0025,25.0,1169,4.0441874101993704,0.6044251144129242,0.7698887938408896,88,0.07527801539777587,0,88,9.095869129874318,-13.35377271955144,2.3669166692039614
strategy_4,0.003,30.0,1169,3.684937856584797,0.5384404914398258,0.7698887938408896,78,0.06672369546621043,0,78,9.095869129874318,-14.975250434514514,2.1106336341340866
strategy_4,0.0035,35.0,1169,3.3747304538423215,0.4836510714662219,0.7698887938408896,67,0.05731394354148845,0,67,9.095869129874318,-16.375375738784605,1.9301705042288926
strategy_4,0.004,40.0,1170,3.1117058515688787,0.43917435509399727,0.7700854700854701,60,0.05128205128205128,0,60,9.092187373768514,-17.57283775069438,1.7999129633395117
strategy_4,0.0045,45.0,1171,2.8933441834698055,0.40327754472653043,0.7702818104184458,47,0.04013663535439795,0,47,9.090150588961855,-18.576099584557728,1.704210829507959
strategy_4,0.005,50.0,1171,2.6986543301239743,0.371647294201797,0.7702818104184458,44,0.037574722459436376,0,44,9.090150588961855,-19.456338265129034,1.6271093589465606
