strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
0,SPY_15m_compiled_strategy_0,671,2.19281045751634,0.45752608047690013,-0.06414571621771181,-0.0760821534236723,-9.447884239113315e-05,2.174366616989568,30.0,3.0,0.0035,0.0012
1,SPY_15m_compiled_strategy_1,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,3.0,0.0035,0.0014
2,SPY_15m_compiled_strategy_2,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,3.0,0.0035,0.0015
3,SPY_15m_compiled_strategy_3,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,3.0,0.0035,0.0016
4,SPY_15m_compiled_strategy_4,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,3.0,0.0035,0.0018
25,SPY_15m_compiled_strategy_25,671,2.19281045751634,0.45752608047690013,-0.06414571621771181,-0.0760821534236723,-9.447884239113315e-05,2.174366616989568,30.0,4.0,0.004,0.0012
26,SPY_15m_compiled_strategy_26,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,4.0,0.004,0.0014
27,SPY_15m_compiled_strategy_27,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,4.0,0.004,0.0015
28,SPY_15m_compiled_strategy_28,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,4.0,0.004,0.0016
29,SPY_15m_compiled_strategy_29,446,1.457516339869281,0.44170403587443946,-0.04928981006941513,-0.058549115468816026,-0.00011009183667684418,2.087443946188341,30.0,4.0,0.004,0.0018
50,SPY_15m_compiled_strategy_50,671,2.19281045751634,0.45752608047690013,-0.06414571621771181,-0.0760821534236723,-9.447884239113315e-05,2.174366616989568,30.0,5.0,0.0045,0.0012
51,SPY_15m_compiled_strategy_51,583,1.9052287581699345,0.4614065180102916,-0.02665056933175658,-0.031728179527644396,-4.296908413329679e-05,2.111492281303602,30.0,5.0,0.0045,0.0014
52,SPY_15m_compiled_strategy_52,556,1.8169934640522876,0.47302158273381295,-0.01952798725059679,-0.023264840541477594,-3.2021690762081016e-05,2.052158273381295,30.0,5.0,0.0045,0.0015
53,SPY_15m_compiled_strategy_53,510,1.6666666666666667,0.4627450980392157,-0.026222256441985392,-0.03121957882559545,-4.857027217537343e-05,2.070588235294118,30.0,5.0,0.0045,0.0016
