strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
0,SPY_15m_compiled_strategy_0,1455,4.754901960784314,0.5230240549828179,-0.03076672371817457,-0.03661370096595529,-1.788570781480919e-05,2.6288659793814433,30.0,3.0,0.003,0.0005
1,SPY_15m_compiled_strategy_1,1221,3.9901960784313726,0.5028665028665029,-0.10538776301005504,-0.1244720585133724,-8.767321425235909e-05,2.366093366093366,30.0,3.0,0.003,0.001
2,SPY_15m_compiled_strategy_2,976,3.189542483660131,0.5020491803278688,-0.06458050796430392,-0.07659449037079469,-6.446165477078074e-05,2.307377049180328,30.0,3.0,0.003,0.0015
3,SPY_15m_compiled_strategy_3,773,2.526143790849673,0.49288486416558863,-0.04802525428840043,-0.05705421523250864,-5.962660996348826e-05,2.2289780077619663,30.0,3.0,0.003,0.002
4,SPY_15m_compiled_strategy_4,580,1.8954248366013071,0.47758620689655173,-0.07441408562325424,-0.08816954130339194,-0.00012871257450714404,2.2482758620689656,30.0,3.0,0.003,0.0025
5,SPY_15m_compiled_strategy_5,480,1.5686274509803921,0.48333333333333334,-0.039205672132153424,-0.04661743599624946,-7.817782597538015e-05,2.220833333333333,30.0,3.0,0.003,0.003
6,SPY_15m_compiled_strategy_6,313,1.022875816993464,0.4792332268370607,-0.001568510965533676,-0.0018719333230657886,5.876976669239643e-07,2.246006389776358,30.0,3.0,0.003,0.004
7,SPY_15m_compiled_strategy_7,219,0.7156862745098039,0.4474885844748858,-0.031619999677795274,-0.03762596412638741,-0.00014356753908378015,2.0821917808219177,30.0,3.0,0.003,0.005
8,SPY_15m_compiled_strategy_8,1446,4.7254901960784315,0.5221300138312587,-0.03665219798420627,-0.0435922736414871,-2.211961966246653e-05,2.685338865836791,30.0,3.0,0.004,0.0005
9,SPY_15m_compiled_strategy_9,1219,3.9836601307189543,0.5028712059064807,-0.11307107954281626,-0.13343995539090392,-9.474027691605609e-05,2.411812961443806,30.0,3.0,0.004,0.001
