strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_return_bps,avg_bars_held,sr_period,min_touches,entry_zone,exit_zone,min_range
0,SPY_5m_compiled_strategy_0,3118,10.18954248366013,0.47851186658114175,-0.24712587476721826,-0.28738913669035615,-9.003148527937119e-05,-0.9003148527937119,1.9441949967928158,10.0,2.0,0.001,0.001,0.002
1,SPY_5m_compiled_strategy_1,2689,8.787581699346406,0.4730383042023057,-0.24368473002796553,-0.2834996373304367,-0.00010275639615715639,-1.027563961571564,2.02045370026032,10.0,2.0,0.001,0.001,0.003
2,SPY_5m_compiled_strategy_2,2049,6.696078431372549,0.47242557345046365,-0.1746150317953752,-0.20472198545549802,-9.244405503462438e-05,-0.9244405503462438,2.154221571498292,10.0,2.0,0.001,0.001,0.004
3,SPY_5m_compiled_strategy_3,1503,4.911764705882353,0.46773120425815035,-0.12059737448544816,-0.1422100064328602,-8.39866271462063e-05,-0.8398662714620629,2.3107119095143047,10.0,2.0,0.001,0.001,0.005
4,SPY_5m_compiled_strategy_4,1747,5.709150326797386,0.4527761877504293,-0.16363337061104566,-0.19207589374984324,-0.00010122995080177633,-1.0122995080177632,1.822552947910704,10.0,2.0,0.001,0.0015,0.002
5,SPY_5m_compiled_strategy_5,1747,5.709150326797386,0.4527761877504293,-0.16363337061104566,-0.19207589374984324,-0.00010122995080177633,-1.0122995080177632,1.822552947910704,10.0,2.0,0.001,0.0015,0.003
6,SPY_5m_compiled_strategy_6,1683,5.5,0.45513963161021986,-0.15518811847719238,-0.18232872481805495,-9.911415369394113e-05,-0.9911415369394113,1.8508615567439097,10.0,2.0,0.001,0.0015,0.004
7,SPY_5m_compiled_strategy_7,1360,4.444444444444445,0.45,-0.12379885617361208,-0.1459361517917278,-9.591022031128332e-05,-0.9591022031128331,1.9691176470588236,10.0,2.0,0.001,0.0015,0.005
8,SPY_5m_compiled_strategy_8,1033,3.3758169934640523,0.4530493707647628,-0.058351452149819516,-0.06925008797683241,-5.68667946091354e-05,-0.5686679460913541,1.818973862536302,10.0,2.0,0.001,0.002,0.002
9,SPY_5m_compiled_strategy_9,1033,3.3758169934640523,0.4530493707647628,-0.058351452149819516,-0.06925008797683241,-5.68667946091354e-05,-0.5686679460913541,1.818973862536302,10.0,2.0,0.001,0.002,0.003
