strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_return_bps,avg_bars_held,sr_period,min_touches,entry_zone,exit_zone,min_range
0,SPY_5m_compiled_strategy_0,5,0.016339869281045753,0.4,-0.008109501506309402,-0.009672107327330814,-0.0016241658665961608,-16.24165866596161,2.2,12.0,3.0,0.002,0.002,0.003
1,SPY_5m_compiled_strategy_1,5,0.016339869281045753,0.4,-0.008109501506309402,-0.009672107327330814,-0.0016241658665961608,-16.24165866596161,2.2,12.0,3.0,0.002,0.002,0.004
2,SPY_5m_compiled_strategy_2,5,0.016339869281045753,0.4,-0.008109501506309402,-0.009672107327330814,-0.0016241658665961608,-16.24165866596161,2.2,12.0,3.0,0.002,0.002,0.005
3,SPY_5m_compiled_strategy_3,4,0.013071895424836602,0.25,-0.00872983866106114,-0.010411347520792869,-0.0021866574058252816,-21.866574058252816,2.5,12.0,3.0,0.002,0.002,0.006
20,SPY_5m_compiled_strategy_20,224,0.7320261437908496,0.5044642857142857,-0.014153492385309052,-0.016870759365635646,-6.286974891453778e-05,-0.6286974891453778,1.2455357142857142,12.0,3.0,0.0025,0.002,0.003
21,SPY_5m_compiled_strategy_21,224,0.7320261437908496,0.5044642857142857,-0.014153492385309052,-0.016870759365635646,-6.286974891453778e-05,-0.6286974891453778,1.2455357142857142,12.0,3.0,0.0025,0.002,0.004
22,SPY_5m_compiled_strategy_22,176,0.5751633986928104,0.4715909090909091,-0.027116734092610062,-0.03228167823669015,-0.00015539542904545678,-1.5539542904545678,1.2329545454545454,12.0,3.0,0.0025,0.002,0.005
23,SPY_5m_compiled_strategy_23,100,0.32679738562091504,0.42,-0.028368364640581567,-0.03376754226217904,-0.00028670960089703586,-2.8670960089703588,1.28,12.0,3.0,0.0025,0.002,0.006
40,SPY_5m_compiled_strategy_40,281,0.9183006535947712,0.4555160142348754,-0.07648368792012183,-0.09060263578473204,-0.0002820788228527029,-2.820788228527029,1.4555160142348755,12.0,3.0,0.003,0.002,0.003
41,SPY_5m_compiled_strategy_41,281,0.9183006535947712,0.4555160142348754,-0.07648368792012183,-0.09060263578473204,-0.0002820788228527029,-2.820788228527029,1.4555160142348755,12.0,3.0,0.003,0.002,0.004
42,SPY_5m_compiled_strategy_42,241,0.7875816993464052,0.43568464730290457,-0.0800089139174811,-0.09474457949270321,-0.000344902177900166,-3.44902177900166,1.4398340248962656,12.0,3.0,0.003,0.002,0.005
43,SPY_5m_compiled_strategy_43,147,0.4803921568627451,0.3945578231292517,-0.05664969659365737,-0.06724198453748731,-0.0003952837300882283,-3.952837300882283,1.4829931972789117,12.0,3.0,0.003,0.002,0.006
44,SPY_5m_compiled_strategy_44,109,0.3562091503267974,0.46788990825688076,-0.042211248473509766,-0.05017622038942293,-0.00039466760549966665,-3.9466760549966664,1.18348623853211,12.0,3.0,0.003,0.0025,0.003
45,SPY_5m_compiled_strategy_45,109,0.3562091503267974,0.46788990825688076,-0.042211248473509766,-0.05017622038942293,-0.00039466760549966665,-3.9466760549966664,1.18348623853211,12.0,3.0,0.003,0.0025,0.004
46,SPY_5m_compiled_strategy_46,109,0.3562091503267974,0.46788990825688076,-0.042211248473509766,-0.05017622038942293,-0.00039466760549966665,-3.9466760549966664,1.18348623853211,12.0,3.0,0.003,0.0025,0.005
47,SPY_5m_compiled_strategy_47,78,0.2549019607843137,0.4230769230769231,-0.032112307783117355,-0.03820992330824646,-0.0004173178598024781,-4.173178598024781,1.1538461538461537,12.0,3.0,0.003,0.0025,0.006
48,SPY_5m_compiled_strategy_48,2,0.006535947712418301,0.0,-0.00218921622366286,-0.0026125544160939818,-0.0010951994556643418,-10.951994556643418,1.0,12.0,3.0,0.003,0.003,0.003
49,SPY_5m_compiled_strategy_49,2,0.006535947712418301,0.0,-0.00218921622366286,-0.0026125544160939818,-0.0010951994556643418,-10.951994556643418,1.0,12.0,3.0,0.003,0.003,0.004
50,SPY_5m_compiled_strategy_50,2,0.006535947712418301,0.0,-0.00218921622366286,-0.0026125544160939818,-0.0010951994556643418,-10.951994556643418,1.0,12.0,3.0,0.003,0.003,0.005
51,SPY_5m_compiled_strategy_51,2,0.006535947712418301,0.0,-0.00218921622366286,-0.0026125544160939818,-0.0010951994556643418,-10.951994556643418,1.0,12.0,3.0,0.003,0.003,0.006
60,SPY_5m_compiled_strategy_60,296,0.9673202614379085,0.4560810810810811,-0.07619328881413745,-0.09026129639052594,-0.0002666246017997276,-2.666246017997276,1.6013513513513513,12.0,3.0,0.0035,0.002,0.003
61,SPY_5m_compiled_strategy_61,296,0.9673202614379085,0.4560810810810811,-0.07619328881413745,-0.09026129639052594,-0.0002666246017997276,-2.666246017997276,1.6013513513513513,12.0,3.0,0.0035,0.002,0.004
62,SPY_5m_compiled_strategy_62,256,0.8366013071895425,0.4375,-0.07971962331652915,-0.09440479476383201,-0.000323352178847851,-3.2335217884785097,1.609375,12.0,3.0,0.0035,0.002,0.005
63,SPY_5m_compiled_strategy_63,178,0.5816993464052288,0.4044943820224719,-0.061372092284892044,-0.07281276897206845,-0.00035446022482686824,-3.5446022482686823,1.5898876404494382,12.0,3.0,0.0035,0.002,0.006
64,SPY_5m_compiled_strategy_64,145,0.4738562091503268,0.43448275862068964,-0.049593670903337106,-0.0589082685550818,-0.0003498163951698857,-3.4981639516988574,1.3379310344827586,12.0,3.0,0.0035,0.0025,0.003
65,SPY_5m_compiled_strategy_65,145,0.4738562091503268,0.43448275862068964,-0.049593670903337106,-0.0589082685550818,-0.0003498163951698857,-3.4981639516988574,1.3379310344827586,12.0,3.0,0.0035,0.0025,0.004
66,SPY_5m_compiled_strategy_66,145,0.4738562091503268,0.43448275862068964,-0.049593670903337106,-0.0589082685550818,-0.0003498163951698857,-3.4981639516988574,1.3379310344827586,12.0,3.0,0.0035,0.0025,0.005
67,SPY_5m_compiled_strategy_67,118,0.38562091503267976,0.423728813559322,-0.037823928943680585,-0.04498064455901851,-0.00032573580491831387,-3.257358049183139,1.3135593220338984,12.0,3.0,0.0035,0.0025,0.006
68,SPY_5m_compiled_strategy_68,55,0.17973856209150327,0.45454545454545453,-0.009227721134920652,-0.011004596758081742,-0.00016794515403762968,-1.6794515403762968,1.2181818181818183,12.0,3.0,0.0035,0.003,0.003
69,SPY_5m_compiled_strategy_69,55,0.17973856209150327,0.45454545454545453,-0.009227721134920652,-0.011004596758081742,-0.00016794515403762968,-1.6794515403762968,1.2181818181818183,12.0,3.0,0.0035,0.003,0.004
70,SPY_5m_compiled_strategy_70,55,0.17973856209150327,0.45454545454545453,-0.009227721134920652,-0.011004596758081742,-0.00016794515403762968,-1.6794515403762968,1.2181818181818183,12.0,3.0,0.0035,0.003,0.005
71,SPY_5m_compiled_strategy_71,55,0.17973856209150327,0.45454545454545453,-0.009227721134920652,-0.011004596758081742,-0.00016794515403762968,-1.6794515403762968,1.2181818181818183,12.0,3.0,0.0035,0.003,0.006
72,SPY_5m_compiled_strategy_72,1,0.0032679738562091504,1.0,0.001095562206857359,0.0013078317846086929,0.0010955622068573479,10.95562206857348,1.0,12.0,3.0,0.0035,0.0035,0.003
73,SPY_5m_compiled_strategy_73,1,0.0032679738562091504,1.0,0.001095562206857359,0.0013078317846086929,0.0010955622068573479,10.95562206857348,1.0,12.0,3.0,0.0035,0.0035,0.004
74,SPY_5m_compiled_strategy_74,1,0.0032679738562091504,1.0,0.001095562206857359,0.0013078317846086929,0.0010955622068573479,10.95562206857348,1.0,12.0,3.0,0.0035,0.0035,0.005
75,SPY_5m_compiled_strategy_75,1,0.0032679738562091504,1.0,0.001095562206857359,0.0013078317846086929,0.0010955622068573479,10.95562206857348,1.0,12.0,3.0,0.0035,0.0035,0.006
80,SPY_5m_compiled_strategy_80,307,1.0032679738562091,0.504885993485342,-0.028228661163478885,-0.03360171266933443,-9.217670473723376e-05,-0.9217670473723376,1.6677524429967427,12.0,3.0,0.004,0.002,0.003
