strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
0,10,2,0.001,0.001,0.002,3118,-0.900314852793712,0.47851186658114175,1619,1499,-0.8244558265277969,-0.9822466496746437
1,10,2,0.001,0.001,0.003,2689,-1.027563961571564,0.4730383042023057,1274,1415,-1.0020813293313198,-1.0505073350514729
2,10,2,0.001,0.001,0.004,2049,-0.9244405503462442,0.47242557345046365,969,1080,-1.1696936051631488,-0.7043940594966324
3,10,2,0.001,0.001,0.005,1503,-0.8398662714620632,0.46773120425815035,717,786,-0.9864075154266927,-0.7061893351737181
4,10,2,0.001,0.0015,0.002,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
5,10,2,0.001,0.0015,0.003,1747,-1.0122995080177632,0.4527761877504293,850,897,-0.8892243085866923,-1.1289259511798706
6,10,2,0.001,0.0015,0.004,1683,-0.9911415369394114,0.45513963161021986,814,869,-0.8531430469227889,-1.1204059453094122
7,10,2,0.001,0.0015,0.005,1360,-0.959102203112833,0.45,658,702,-0.6934504182737676,-1.2081034487312163
8,10,2,0.001,0.002,0.002,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
9,10,2,0.001,0.002,0.003,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
10,10,2,0.001,0.002,0.004,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
11,10,2,0.001,0.002,0.005,1027,-0.5462398056539771,0.45569620253164556,497,530,-0.5127286943385767,-0.5776643760761547
12,10,2,0.001,0.0025,0.002,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
13,10,2,0.001,0.0025,0.003,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
14,10,2,0.001,0.0025,0.004,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
15,10,2,0.001,0.0025,0.005,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
16,10,2,0.001,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
17,10,2,0.001,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
18,10,2,0.001,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
19,10,2,0.001,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
