strategy_id,strategy_name,strategy_type,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,annualized_sharpe_ratio,total_return_pct,win_days_pct
adx_trend_strength_adx_trend_strength_trend_grid_10_20_000,adx_trend_strength_trend_grid_10_20,adx_trend_strength,low_vol_bullish,205,0.0568,0.5306,1.7,11.64,55.6
adx_trend_strength_adx_trend_strength_trend_grid_10_20_000,adx_trend_strength_trend_grid_10_20,adx_trend_strength,low_vol_bearish,205,0.0243,0.5584,0.69,4.98,48.3
adx_trend_strength_adx_trend_strength_trend_grid_10_20_000,adx_trend_strength_trend_grid_10_20,adx_trend_strength,neutral,205,-0.0197,0.1782,-1.757,-4.04,48.3
adx_trend_strength_adx_trend_strength_trend_grid_10_25_000,adx_trend_strength_trend_grid_10_25,adx_trend_strength,low_vol_bearish,205,0.0018,0.5183,0.056,0.38,49.8
adx_trend_strength_adx_trend_strength_trend_grid_10_25_000,adx_trend_strength_trend_grid_10_25,adx_trend_strength,neutral,205,-0.0221,0.1627,-2.153,-4.52,45.4
adx_trend_strength_adx_trend_strength_trend_grid_10_25_000,adx_trend_strength_trend_grid_10_25,adx_trend_strength,low_vol_bullish,205,0.057,0.5051,1.791,11.68,55.1
adx_trend_strength_adx_trend_strength_trend_grid_10_30_000,adx_trend_strength_trend_grid_10_30,adx_trend_strength,low_vol_bullish,205,0.0499,0.4891,1.619,10.23,53.7
adx_trend_strength_adx_trend_strength_trend_grid_10_30_000,adx_trend_strength_trend_grid_10_30,adx_trend_strength,low_vol_bearish,205,0.0016,0.4944,0.05,0.32,51.7
adx_trend_strength_adx_trend_strength_trend_grid_10_30_000,adx_trend_strength_trend_grid_10_30,adx_trend_strength,neutral,205,-0.0222,0.1593,-2.216,-4.56,43.9
adx_trend_strength_adx_trend_strength_trend_grid_10_35_000,adx_trend_strength_trend_grid_10_35,adx_trend_strength,low_vol_bullish,205,0.0462,0.4761,1.542,9.48,57.1
adx_trend_strength_adx_trend_strength_trend_grid_10_35_000,adx_trend_strength_trend_grid_10_35,adx_trend_strength,low_vol_bearish,205,-0.0121,0.4615,-0.418,-2.49,49.8
adx_trend_strength_adx_trend_strength_trend_grid_10_35_000,adx_trend_strength_trend_grid_10_35,adx_trend_strength,neutral,205,-0.0149,0.1419,-1.663,-3.05,47.3
