current_regime,strategy_name,strategy_type,sharpe_ratio,total_return_pct,volatility_pct,win_rate_pct,consistency_score,selection_score,overall_rank
low_vol_bearish,stochastic_crossover_grid_27_5,stochastic_crossover,2.051,15.03,0.57,53.2,1.496,0.707,1
low_vol_bearish,cci_threshold_grid_11_-20,cci_threshold,1.962,14.66,0.58,52.2,1.418,0.685,2
low_vol_bearish,ema_sma_crossover_grid_11_15,ema_sma_crossover,1.886,13.04,0.54,51.7,1.356,0.659,3
low_vol_bearish,keltner_breakout_grid_11_1.5,keltner_breakout,2.02,5.8,0.22,55.6,1.506,0.651,4
low_vol_bearish,rsi_bands_grid_7_25_70,rsi_bands,2.071,7.0,0.26,49.8,1.461,0.648,5
low_vol_bearish,rsi_bands_grid_7_25_65,rsi_bands,2.025,6.87,0.26,49.8,1.429,0.639,6
low_vol_bearish,ultimate_oscillator_grid_5_14_28_35_65,ultimate_oscillator,2.003,5.9,0.23,52.2,1.447,0.637,7
low_vol_bearish,cci_threshold_grid_11_0,cci_threshold,1.717,12.84,0.58,54.1,1.263,0.635,9
low_vol_bullish,dema_crossover_grid_19_35,dema_crossover,3.389,22.58,0.52,60.5,2.636,0.906,1
low_vol_bullish,macd_crossover_grid_12_35_9,macd_crossover,3.013,21.1,0.54,60.5,2.344,0.905,2
low_vol_bullish,dema_crossover_grid_7_35,dema_crossover,3.191,22.45,0.54,60.5,2.482,0.905,3
low_vol_bullish,macd_crossover_grid_15_35_7,macd_crossover,2.976,20.76,0.54,61.5,2.334,0.904,4
low_vol_bullish,cci_threshold_grid_11_-40,cci_threshold,2.925,19.89,0.53,60.0,2.266,0.896,10
neutral,stochastic_rsi_grid_21_21_15_80,stochastic_rsi,2.686,6.63,0.19,54.6,1.985,0.77,1
neutral,stochastic_rsi_grid_21_21_15_75,stochastic_rsi,2.59,6.22,0.19,55.6,1.931,0.754,2
neutral,dema_crossover_grid_19_15,dema_crossover,2.405,7.49,0.24,58.5,1.839,0.74,3
neutral,vortex_crossover_grid_27,vortex_crossover,2.071,5.94,0.22,51.2,1.482,0.646,8
