strategy_id,strategy_name,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,daily_sharpe_ratio,annualized_sharpe_ratio,total_return_pct,win_days_pct,avg_trades_per_day,strategy_type
macd_12_26_9,MACD Crossover 12_26_9,low_vol_bullish,205,0.0844,0.5464,0.155,2.453,17.31,58.5,2.0,macd_crossover
macd_12_26_9,MACD Crossover 12_26_9,low_vol_bearish,205,0.0109,0.5343,0.02,0.324,2.24,45.4,2.0,macd_crossover
macd_12_26_9,MACD Crossover 12_26_9,neutral,205,-0.0234,0.2381,-0.098,-1.56,-4.8,47.3,1.9,macd_crossover
ema_7_35,EMA Crossover 7_35,low_vol_bullish,205,0.0469,0.5246,0.089,1.418,9.61,57.1,1.9,ema_crossover
ema_7_35,EMA Crossover 7_35,neutral,205,-0.002,0.239,-0.008,-0.133,-0.41,42.4,1.9,ema_crossover
ema_7_35,EMA Crossover 7_35,low_vol_bearish,205,-0.0232,0.5847,-0.04,-0.631,-4.76,46.8,2.0,ema_crossover
rsi_11_40,RSI Threshold 11_40,low_vol_bullish,205,0.0688,0.5213,0.132,2.096,14.11,55.1,1.2,rsi_threshold
rsi_11_40,RSI Threshold 11_40,low_vol_bearish,205,0.0259,0.5473,0.047,0.752,5.31,49.8,2.0,rsi_threshold
rsi_11_40,RSI Threshold 11_40,neutral,205,-0.0064,0.2435,-0.026,-0.42,-1.32,50.2,1.1,rsi_threshold
rsi_7_45,RSI Threshold 7_45,low_vol_bullish,205,0.0767,0.518,0.148,2.349,15.72,56.1,1.5,rsi_threshold
rsi_7_45,RSI Threshold 7_45,low_vol_bearish,205,0.02,0.5385,0.037,0.589,4.1,50.2,2.0,rsi_threshold
rsi_7_45,RSI Threshold 7_45,neutral,205,-0.0117,0.2298,-0.051,-0.81,-2.4,48.3,2.0,rsi_threshold
bollinger_11_1.5,Bollinger Breakout 11_1.5,neutral,205,0.0021,0.0456,0.045,0.714,0.42,46.8,2.3,bollinger_breakout
bollinger_11_1.5,Bollinger Breakout 11_1.5,low_vol_bearish,205,-0.0103,0.2666,-0.039,-0.611,-2.11,49.3,2.4,bollinger_breakout
bollinger_11_1.5,Bollinger Breakout 11_1.5,low_vol_bullish,205,-0.0237,0.2135,-0.111,-1.764,-4.86,47.8,2.5,bollinger_breakout
