strategy_id,strategy_name,strategy_type,entry_regime,trade_count,avg_return_pct,total_return_pct,net_return_pct,sharpe_ratio,win_rate,avg_duration_min
macd_12_26_9,macd_crossover_grid_12_26_9,macd_crossover,low_vol_bullish,1388,0.002,3.236,-66.164,0.025,48.77521613832853,12.3
macd_12_26_9,macd_crossover_grid_12_26_9,macd_crossover,high_vol_bearish,1,0.423,0.423,0.373,,100.0,13.0
macd_12_26_9,macd_crossover_grid_12_26_9,macd_crossover,low_vol_bearish,1319,-0.001,-0.816,-66.766,-0.006,50.49279757391964,12.3
macd_12_26_9,macd_crossover_grid_12_26_9,macd_crossover,neutral,204,-0.004,-0.791,-10.991,-0.039,51.470588235294116,14.5
ema_7_35,ema_crossover_grid_7_35,ema_crossover,low_vol_bullish,563,-0.006,-3.511,-31.661,-0.04,52.04262877442274,23.9
ema_7_35,ema_crossover_grid_7_35,ema_crossover,high_vol_bearish,1,0.816,0.816,0.766,,100.0,34.0
ema_7_35,ema_crossover_grid_7_35,ema_crossover,low_vol_bearish,580,0.005,3.134,-25.866,0.037,49.48275862068966,25.1
ema_7_35,ema_crossover_grid_7_35,ema_crossover,neutral,65,-0.006,-0.388,-3.638,-0.064,50.76923076923077,17.3
rsi_11_40,rsi_threshold_grid_11_40,rsi_threshold,high_vol_bearish,1,0.474,0.474,0.424,,100.0,15.0
rsi_11_40,rsi_threshold_grid_11_40,rsi_threshold,low_vol_bearish,3308,0.001,4.221,-161.179,0.015,50.030229746070134,7.5
rsi_11_40,rsi_threshold_grid_11_40,rsi_threshold,neutral,156,0.01,1.503,-6.297,0.113,50.64102564102564,18.6
rsi_11_40,rsi_threshold_grid_11_40,rsi_threshold,low_vol_bullish,122,-0.011,-1.318,-7.418,-0.073,52.459016393442624,22.9
